#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095475.1-p1      -           2106 374at5820            -           1549         0 2465.7  89.7   1   7  1.7e-207  1.3e-204  680.6   4.5    28   416    92   525    85   529 0.92 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 374at5820            -           1549         0 2465.7  89.7   2   7   1.3e-86     1e-83  279.9   0.0   415   599   589   800   583   804 0.91 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 374at5820            -           1549         0 2465.7  89.7   3   7  2.7e-112  2.1e-109  365.0   0.1   590   797   817  1033   811  1035 0.96 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 374at5820            -           1549         0 2465.7  89.7   4   7   3.7e-11   2.9e-08   29.8   0.1    28   112  1051  1135  1047  1141 0.75 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 374at5820            -           1549         0 2465.7  89.7   5   7   6.1e-29   4.8e-26   88.8   0.0   823   914  1128  1227  1122  1233 0.88 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 374at5820            -           1549         0 2465.7  89.7   6   7  1.5e-185  1.1e-182  607.9  32.5   926  1294  1293  1742  1287  1745 0.89 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 374at5820            -           1549         0 2465.7  89.7   7   7  1.5e-130  1.2e-127  425.5  27.4  1293  1549  1787  2106  1778  2106 0.89 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093675.1-p1      -            295 374at5820            -           1549   1.9e-35  119.9   0.0   1   1   2.9e-38   2.3e-35  119.7   0.0   596   795    88   289    37   294 0.86 | transcript=PVX_093675.1 | gene=PVX_093675 | organism=Plasmodium_vivax_Sal-1 | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=Pv_Sal1_chr01:756799-757686(+) | protein_length=295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082735.1-p1      -            556 374at5820            -           1549   1.9e-30  103.3   4.8   1   2   1.1e-30   8.4e-28   94.6   0.0   600   793    36   232    25   238 0.91 | transcript=PVX_082735.1 | gene=PVX_082735 | organism=Plasmodium_vivax_Sal-1 | gene_product=thrombospondin-related anonymous protein | transcript_product=thrombospondin-related anonymous protein | location=Pv_Sal1_chr12:731600-733270(+) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082735.1-p1      -            556 374at5820            -           1549   1.9e-30  103.3   4.8   2   2   5.1e-05     0.041    9.5   2.2  1215  1259   239   283   232   287 0.71 | transcript=PVX_082735.1 | gene=PVX_082735 | organism=Plasmodium_vivax_Sal-1 | gene_product=thrombospondin-related anonymous protein | transcript_product=thrombospondin-related anonymous protein | location=Pv_Sal1_chr12:731600-733270(+) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113965.1-p1      -           1488 374at5820            -           1549   9.5e-12   41.4   8.1   1   2     8e-05     0.063    8.8   4.3  1110  1321   255   280   133   324 0.54 | transcript=PVX_113965.1 | gene=PVX_113965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1354399-1358865(-) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
