#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116850.1-p1      -            543 6066at5820           -            462  1.2e-233  774.2  54.1   1   2   5.2e-76   3.6e-73  245.1  19.2     1   189    26   243    26   249 0.89 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 6066at5820           -            462  1.2e-233  774.2  54.1   2   2  5.5e-164  3.8e-161  535.2  27.3   176   462   251   543   240   543 0.96 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 6066at5820           -            462   3.3e-38  129.9   5.2   1   3   8.5e-17   5.9e-14   49.9   0.1   316   437    22   137    16   157 0.81 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 6066at5820           -            462   3.3e-38  129.9   5.2   2   3   3.6e-08   2.5e-05   21.5   1.1    44   195    78   228    73   264 0.75 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 6066at5820           -            462   3.3e-38  129.9   5.2   3   3   2.8e-24     2e-21   74.6   0.0   289   432   318   454   309   478 0.83 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 6066at5820           -            462   1.5e-14   51.9  11.0   1   2   4.6e-06    0.0032   14.5   3.8   341   452    46   149    31   158 0.63 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 6066at5820           -            462   1.5e-14   51.9  11.0   2   2   4.1e-14   2.8e-11   41.1   1.4   315   460   155   296   149   298 0.75 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099385.1-p1      -            518 6066at5820           -            462   1.7e-10   38.5   0.3   1   2      0.92   6.3e+02   -2.9   0.1    90    95   142   147    83   192 0.48 | transcript=PVX_099385.1 | gene=PVX_099385 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr07:733464-735386(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099385.1-p1      -            518 6066at5820           -            462   1.7e-10   38.5   0.3   2   2   2.5e-13   1.7e-10   38.5   0.3   279   416   354   487   346   517 0.87 | transcript=PVX_099385.1 | gene=PVX_099385 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr07:733464-735386(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117605.1-p1      -            104 6066at5820           -            462   1.3e-06   25.7   0.0   1   1     2e-09   1.4e-06   25.6   0.0   327   377     2    49     1   100 0.77 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 6066at5820           -            462   3.5e-06   24.3  17.3   1   3   2.8e-06    0.0019   15.2   3.3   316   378   174   235   167   243 0.82 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 6066at5820           -            462   3.5e-06   24.3  17.3   2   3   1.2e-06   0.00084   16.4   5.7    44   151   228   338   223   360 0.84 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 6066at5820           -            462   3.5e-06   24.3  17.3   3   3      0.88   6.1e+02   -2.9   0.0    29    63   362   396   358   449 0.58 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 6066at5820           -            462   7.8e-05   19.8   0.8   1   2   1.6e-07   0.00011   19.3   0.1   348   417    50   111    43   141 0.75 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 6066at5820           -            462   7.8e-05   19.8   0.8   2   2         1   7.1e+02   -3.1   0.1    59    76   158   175   144   176 0.75 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
