#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   1  14  3.2e-185  8.9e-182  605.0   9.6     1   266    34   312    34   325 0.96 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   2  14   4.6e-14   1.3e-10   38.0   1.6   263   328   393   481   388   484 0.83 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   3  14   5.3e-56   1.5e-52  176.9   0.1   323   409   570   656   555   660 0.95 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   4  14  1.8e-111  5.1e-108  360.6   7.9   407   596   679   866   671   883 0.92 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   5  14     0.056   1.5e+02   -2.1   0.2   574   602   900   928   895   934 0.78 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   6  14   6.3e-86   1.7e-82  276.0  25.7   595   802  1043  1249  1036  1264 0.86 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   7  14   0.00036         1    5.2   0.0   737   771  1279  1313  1272  1332 0.83 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   8  14   1.8e-26   4.9e-23   79.1  16.1   769   877  1414  1525  1408  1536 0.83 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0   9  14      0.04   1.1e+02   -1.6  13.6   811   873  1530  1588  1521  1637 0.60 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0  10  14   4.5e-29   1.2e-25   87.7   6.4   867   941  1670  1744  1651  1749 0.89 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085725.1-p1      -           2408 588at5820            -           1267         0 2105.7 183.0  11  14   1.3e-21   3.5e-18   63.0  14.5   939   993  1855  1909  1774  1922 0.86 | transcript=PVX_085725.1 | gene=PVX_085725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1460140-1468112(+) | protein_length=2408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
