#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001900.1-p1      -            630 5399at5820           -            488    2e-247  819.7  20.8   1   3   4.8e-55   5.3e-52  175.2   2.0    13   107    40   135    10   140 0.92 | transcript=PVX_001900.1 | gene=PVX_001900 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoamide acetyltransferase, putative | transcript_product=dihydrolipoamide acetyltransferase, putative | location=Pv_Sal1_chr06:236016-239462(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001900.1-p1      -            630 5399at5820           -            488    2e-247  819.7  20.8   2   3   1.2e-50   1.4e-47  160.6   2.3   104   229   181   326   177   335 0.88 | transcript=PVX_001900.1 | gene=PVX_001900 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoamide acetyltransferase, putative | transcript_product=dihydrolipoamide acetyltransferase, putative | location=Pv_Sal1_chr06:236016-239462(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001900.1-p1      -            630 5399at5820           -            488    2e-247  819.7  20.8   3   3  6.8e-151  7.5e-148  491.3   1.8   232   488   360   630   357   630 0.97 | transcript=PVX_001900.1 | gene=PVX_001900 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoamide acetyltransferase, putative | transcript_product=dihydrolipoamide acetyltransferase, putative | location=Pv_Sal1_chr06:236016-239462(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_137260-t26_1-p1  -            202 5399at5820           -            488  4.7e-119  396.3   0.6   1   1    5e-122  5.5e-119  396.1   0.6   289   485     5   202     2   202 0.99 | transcript=PVX_137260-t26_1 | gene=PVX_137260 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001153:1-985(-) | protein_length=202 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_122850.1-p1      -            415 5399at5820           -            488   4.1e-26   89.8  14.9   1   2   1.4e-11   1.5e-08   31.8   0.8    22    85    41   104    24   123 0.84 | transcript=PVX_122850.1 | gene=PVX_122850 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative | transcript_product=dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative | location=Pv_Sal1_chr14:924524-926211(+) | protein_length=415 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122850.1-p1      -            415 5399at5820           -            488   4.1e-26   89.8  14.9   2   2   2.4e-23   2.7e-20   70.6   7.3   125   481    61   408    61   414 0.81 | transcript=PVX_122850.1 | gene=PVX_122850 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative | transcript_product=dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative | location=Pv_Sal1_chr14:924524-926211(+) | protein_length=415 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119310.1-p1      -            451 5399at5820           -            488   5.9e-22   76.1  13.2   1   2     2e-08   2.2e-05   21.4   1.0   122   175    47   100    21   124 0.63 | transcript=PVX_119310.1 | gene=PVX_119310 | organism=Plasmodium_vivax_Sal-1 | gene_product=lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, putative | transcript_product=lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, putative | location=Pv_Sal1_chr08:1568153-1569508(+) | protein_length=451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119310.1-p1      -            451 5399at5820           -            488   5.9e-22   76.1  13.2   2   2   5.2e-20   5.8e-17   59.6   5.3   271   480   215   441   176   445 0.79 | transcript=PVX_119310.1 | gene=PVX_119310 | organism=Plasmodium_vivax_Sal-1 | gene_product=lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, putative | transcript_product=lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, putative | location=Pv_Sal1_chr08:1568153-1569508(+) | protein_length=451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 5399at5820           -            488   4.1e-06   23.8   0.1   1   1   7.8e-09   8.6e-06   22.8   0.1    35    99  1138  1202  1106  1211 0.86 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
