#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081710.1-p1      -            565 6234at5820           -            412  2.7e-228  756.4  24.5   1   3   2.5e-33   2.3e-30  104.4   0.1     1    72     1    73     1    80 0.92 | transcript=PVX_081710.1 | gene=PVX_081710 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr02:600171-602070(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081710.1-p1      -            565 6234at5820           -            412  2.7e-228  756.4  24.5   2   3   8.4e-94   7.7e-91  303.6   3.4    74   218   170   314   152   321 0.95 | transcript=PVX_081710.1 | gene=PVX_081710 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr02:600171-602070(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081710.1-p1      -            565 6234at5820           -            412  2.7e-228  756.4  24.5   3   3  8.4e-110  7.7e-107  356.3   9.4   214   412   367   565   362   565 0.98 | transcript=PVX_081710.1 | gene=PVX_081710 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr02:600171-602070(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000750.1-p1      -            414 6234at5820           -            412   2.9e-07   28.3   6.5   1   1   1.3e-08   1.2e-05   23.0   6.5   140   356   146   360   100   394 0.68 | transcript=PVX_000750.1 | gene=PVX_000750 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr03:332386-334535(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 6234at5820           -            412   1.8e-06   25.7   0.5   1   3      0.17   1.6e+02   -0.4   0.1    97   121   128   152   121   181 0.87 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 6234at5820           -            412   1.8e-06   25.7   0.5   2   3   6.9e-05     0.064   10.7   0.0   160   218   267   324   255   340 0.83 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 6234at5820           -            412   1.8e-06   25.7   0.5   3   3   4.7e-05     0.044   11.3   0.0   314   378   501   563   482   580 0.77 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 6234at5820           -            412   0.00078   17.0   0.0   1   1   2.1e-05      0.02   12.4   0.0   242   341   209   319    54   332 0.76 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 6234at5820           -            412    0.0042   14.6   0.0   1   1   5.7e-05     0.053   11.0   0.0    73   343    57   321    30   351 0.68 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 6234at5820           -            412     0.053   11.0   0.1   1   2     0.018        16    2.8   0.0   164   215   188   239   155   245 0.86 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 6234at5820           -            412     0.053   11.0   0.1   2   2     0.002       1.9    5.9   0.0   278   383   363   468   347   476 0.75 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6234at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6234at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6234at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:34 2026
# [ok]
