#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079830.1-p1      -            437 8463at5820           -            312  9.4e-175  578.4  42.9   1   2   5.3e-06    0.0024   15.4   8.7     5    41    31    71    23    75 0.76 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 8463at5820           -            312  9.4e-175  578.4  42.9   2   2    3e-174  1.4e-171  568.0  26.2    21   311   121   435   113   436 0.94 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111325.1-p1      -            281 8463at5820           -            312   1.5e-55  186.9  10.2   1   1   4.3e-58     2e-55  186.5  10.2    46   296    27   272    11   279 0.91 | transcript=PVX_111325.1 | gene=PVX_111325 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr06:553939-556527(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113640.1-p1      -            284 8463at5820           -            312   1.9e-31  107.7  24.3   1   1   3.2e-33   1.5e-30  104.8  24.3    38   296    18   272     9   283 0.73 | transcript=PVX_113640.1 | gene=PVX_113640 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr11:1617899-1619565(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091430.1-p1      -            294 8463at5820           -            312   3.3e-29  100.3  16.9   1   1   9.3e-32   4.3e-29  100.0  16.9    39   292     3   254     1   273 0.71 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002745.1-p1      -            272 8463at5820           -            312   5.6e-20   70.0  16.2   1   1   2.7e-22   1.2e-19   68.9  16.2    71   291    42   254     5   267 0.66 | transcript=PVX_002745.1 | gene=PVX_002745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:235174-237527(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 8463at5820           -            312   2.2e-17   61.5  21.8   1   2   4.8e-20   2.2e-17   61.5  21.8    45   277    43   290     3   312 0.66 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 8463at5820           -            312   2.2e-17   61.5  21.8   2   2       1.7   7.8e+02   -2.7   0.1    22    61   751   790   737   802 0.71 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091670.1-p1      -            289 8463at5820           -            312   3.4e-15   54.3  24.6   1   1   1.2e-17   5.4e-15   53.6  24.6    81   255    60   243    25   257 0.68 | transcript=PVX_091670.1 | gene=PVX_091670 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:707084-708763(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122880.1-p1      -            297 8463at5820           -            312   9.5e-14   49.6  19.4   1   1   3.1e-16   1.4e-13   49.0  19.4    39   221    36   218    17   275 0.70 | transcript=PVX_122880.1 | gene=PVX_122880 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:955183-957821(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 8463at5820           -            312   2.5e-11   41.6  10.6   1   1   8.4e-14   3.9e-11   41.0  10.6   132   241   302   409   296   422 0.81 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
