#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099195.1-p1      -            719 4609at5820           -            472  1.1e-231  767.9   8.9   1   4  9.4e-121  4.3e-118  393.3   0.2     6   215    24   235    20   249 0.97 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 4609at5820           -            472  1.1e-231  767.9   8.9   2   4   2.7e-59   1.3e-56  190.7   0.0   219   334   370   486   343   489 0.93 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 4609at5820           -            472  1.1e-231  767.9   8.9   3   4     6e-56   2.8e-53  179.6   1.1   335   456   524   654   519   659 0.94 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 4609at5820           -            472  1.1e-231  767.9   8.9   4   4     0.002      0.94    6.4   0.0   452   471   689   708   686   709 0.90 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 4609at5820           -            472     8e-15   52.8  39.5   1   4   1.3e-07   6.1e-05   20.3   0.3    46   121   102   176    65   177 0.87 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 4609at5820           -            472     8e-15   52.8  39.5   2   4   1.4e-10   6.7e-08   30.0   1.7   238   335   146   243   145   251 0.90 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 4609at5820           -            472     8e-15   52.8  39.5   3   4   8.4e-05     0.039   11.0   4.7    43   131   250   343   246   371 0.78 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 4609at5820           -            472     8e-15   52.8  39.5   4   4     5e-06    0.0023   15.1  15.4   244   397   348   509   341   522 0.78 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 4609at5820           -            472   1.4e-09   35.6  13.1   1   4     0.039        18    2.2   8.9   278   373   496   596   445   638 0.70 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 4609at5820           -            472   1.4e-09   35.6  13.1   2   4     3e-12   1.4e-09   35.6  13.1    45   193   641   782   633   785 0.89 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 4609at5820           -            472   1.4e-09   35.6  13.1   3   4     0.096        44    0.9  15.0    57   187   764   896   755   907 0.82 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
