#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000735.1-p1      -            953 2909at5820           -            517  4.1e-264  875.5  46.9   1   4   2.2e-62   1.7e-59  200.4  19.6     5   142     9   167     2   201 0.81 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000735.1-p1      -            953 2909at5820           -            517  4.1e-264  875.5  46.9   2   4     5e-05      0.04   11.1   0.2   127   170   380   423   362   445 0.82 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000735.1-p1      -            953 2909at5820           -            517  4.1e-264  875.5  46.9   3   4   1.3e-24     1e-21   75.8   3.5   132   247   527   649   512   660 0.72 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000735.1-p1      -            953 2909at5820           -            517  4.1e-264  875.5  46.9   4   4  5.7e-183  4.5e-180  598.2   2.7   245   516   678   952   674   953 0.97 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 2909at5820           -            517   2.7e-23   80.9   0.3   1   3      0.15   1.2e+02   -0.3   0.1   236   265    45    74    36    88 0.84 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 2909at5820           -            517   2.7e-23   80.9   0.3   2   3      0.23   1.9e+02   -1.0   0.1   277   329   368   419   342   425 0.78 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 2909at5820           -            517   2.7e-23   80.9   0.3   3   3   3.4e-26   2.7e-23   80.9   0.3   306   454   511   661   494   712 0.89 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 2909at5820           -            517     2e-18   64.9   4.1   1   2   2.5e-21     2e-18   64.9   4.1   308   483    96   281    31   293 0.77 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117730.1-p1      -            411 2909at5820           -            517     2e-18   64.9   4.1   2   2       4.5   3.5e+03   -5.2   6.5    25   122   311   408   290   411 0.44 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 2909at5820           -            517   1.9e-16   58.3   7.6   1   1   2.9e-19   2.3e-16   58.1   7.6   225   480    29   300    12   303 0.74 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 2909at5820           -            517   6.2e-13   46.7   2.1   1   2   1.8e-10   1.4e-07   29.1   0.7   230   353   521   656   507   673 0.76 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
