#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100800.1-p1      -            631 4970at5820           -            546         0 1086.3  47.1   1   3  1.3e-171  1.2e-168  560.4  13.7     1   260     1   263     1   270 0.99 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 4970at5820           -            546         0 1086.3  47.1   2   3  3.4e-159  3.1e-156  519.5  15.2   252   521   295   577   284   583 0.97 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 4970at5820           -            546         0 1086.3  47.1   3   3   1.8e-07   0.00017   18.7   2.4   501   546   586   631   582   631 0.90 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 4970at5820           -            546     5e-43  145.8  15.9   1   3   4.1e-06    0.0038   14.2   3.8    12   186    57   230    51   244 0.75 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 4970at5820           -            546     5e-43  145.8  15.9   2   3   1.3e-32   1.2e-29  101.7   0.1     7   212   512   731   507   757 0.85 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 4970at5820           -            546     5e-43  145.8  15.9   3   3   6.5e-13     6e-10   36.7   0.8   289   363   905   981   862  1002 0.83 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 4970at5820           -            546     6e-28   96.1  17.7   1   4   1.6e-09   1.5e-06   25.4   5.2    15   120   210   311   195   358 0.80 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 4970at5820           -            546     6e-28   96.1  17.7   2   4   7.9e-13   7.3e-10   36.4   0.0     9    90   660   750   653   760 0.81 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 4970at5820           -            546     6e-28   96.1  17.7   3   4   6.3e-09   5.8e-06   23.5   0.2   113   200   818   908   814   953 0.86 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 4970at5820           -            546     6e-28   96.1  17.7   4   4   5.6e-07   0.00052   17.1   0.1   295   355  1177  1240  1171  1249 0.83 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 4970at5820           -            546   2.5e-24   84.1   5.1   1   2   1.7e-26   1.5e-23   81.5   2.0    20   220     4   226     1   255 0.78 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 4970at5820           -            546   2.5e-24   84.1   5.1   2   2     0.026        24    1.6   0.1   397   417   306   326   228   336 0.71 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115230.1-p1      -            534 4970at5820           -            546   7.8e-21   72.6   3.6   1   1   1.4e-23   1.3e-20   71.9   3.6    14   169    98   257    89   262 0.92 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 4970at5820           -            546   8.7e-10   36.1   0.1   1   1   1.5e-12   1.4e-09   35.4   0.1     7    98   752   849   746   869 0.88 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4970at5820.hmm
