#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085470.1-p1      -           1197 1692at5820           -            932         0 1505.7  87.3   1   6   1.9e-14   3.5e-11   40.3   0.0     1    47    14    64    14    74 0.91 | transcript=PVX_085470.1 | gene=PVX_085470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1191378-1194971(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085470.1-p1      -           1197 1692at5820           -            932         0 1505.7  87.3   2   6   3.1e-34   5.6e-31  105.8   5.6    44   116    83   158    79   164 0.93 | transcript=PVX_085470.1 | gene=PVX_085470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1191378-1194971(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085470.1-p1      -           1197 1692at5820           -            932         0 1505.7  87.3   3   6   2.7e-68   5.1e-65  218.5  17.8   117   316   186   422   182   434 0.87 | transcript=PVX_085470.1 | gene=PVX_085470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1191378-1194971(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085470.1-p1      -           1197 1692at5820           -            932         0 1505.7  87.3   4   6  2.2e-107    4e-104  347.9  10.5   312   519   446   659   433   664 0.96 | transcript=PVX_085470.1 | gene=PVX_085470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1191378-1194971(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085470.1-p1      -           1197 1692at5820           -            932         0 1505.7  87.3   5   6   7.8e-79   1.4e-75  253.4   9.6   517   651   735   870   731   877 0.96 | transcript=PVX_085470.1 | gene=PVX_085470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1191378-1194971(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085470.1-p1      -           1197 1692at5820           -            932         0 1505.7  87.3   6   6  8.5e-173  1.6e-169  564.4   8.9   645   932   899  1197   896  1197 0.96 | transcript=PVX_085470.1 | gene=PVX_085470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1191378-1194971(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 1692at5820           -            932   6.2e-05   19.6   7.7   1   4     0.041        76   -0.5   0.0     4    29    10    35     8    45 0.89 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 1692at5820           -            932   6.2e-05   19.6   7.7   2   4     0.092   1.7e+02   -1.7   0.1    87   109    50    72    39   185 0.50 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 1692at5820           -            932   6.2e-05   19.6   7.7   3   4   3.4e-08   6.2e-05   19.6   7.7     2   116   239   343   238   371 0.74 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 1692at5820           -            932   6.2e-05   19.6   7.7   4   4   0.00066       1.2    5.4   0.4     2    36   374   408   373   421 0.88 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 1692at5820           -            932      0.75    6.1   5.3   1   2     0.019        36    0.6   1.5    57   109    49   103    12   110 0.83 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 1692at5820           -            932      0.75    6.1   5.3   2   2   0.00026      0.47    6.8   0.1     3    68   302   375   300   388 0.76 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1692at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
