#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083335.1-p1      -           1669 1180at5820           -           1159         0 1841.8 149.8   1   7   1.1e-44     3e-41  139.5   4.8     1    82     1    82     1    89 0.98 | transcript=PVX_083335.1 | gene=PVX_083335 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasma membrane Ca2+ ATPase, putative | transcript_product=plasma membrane Ca2+ ATPase, putative | location=Pv_Sal1_chr12:193310-199134(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083335.1-p1      -           1669 1180at5820           -           1159         0 1841.8 149.8   2   7   5.7e-97   1.6e-93  312.6  19.3    83   249   109   283   104   297 0.93 | transcript=PVX_083335.1 | gene=PVX_083335 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasma membrane Ca2+ ATPase, putative | transcript_product=plasma membrane Ca2+ ATPase, putative | location=Pv_Sal1_chr12:193310-199134(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083335.1-p1      -           1669 1180at5820           -           1159         0 1841.8 149.8   3   7   8.7e-57   2.4e-53  179.5   9.6   251   369   399   520   387   527 0.92 | transcript=PVX_083335.1 | gene=PVX_083335 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasma membrane Ca2+ ATPase, putative | transcript_product=plasma membrane Ca2+ ATPase, putative | location=Pv_Sal1_chr12:193310-199134(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083335.1-p1      -           1669 1180at5820           -           1159         0 1841.8 149.8   4   7  1.1e-103    3e-100  334.9  27.9   365   546   560   741   552   743 0.97 | transcript=PVX_083335.1 | gene=PVX_083335 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasma membrane Ca2+ ATPase, putative | transcript_product=plasma membrane Ca2+ ATPase, putative | location=Pv_Sal1_chr12:193310-199134(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083335.1-p1      -           1669 1180at5820           -           1159         0 1841.8 149.8   5   7   2.1e-83   5.7e-80  267.7   3.8   545   758   777  1033   769  1045 0.87 | transcript=PVX_083335.1 | gene=PVX_083335 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasma membrane Ca2+ ATPase, putative | transcript_product=plasma membrane Ca2+ ATPase, putative | location=Pv_Sal1_chr12:193310-199134(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083335.1-p1      -           1669 1180at5820           -           1159         0 1841.8 149.8   6   7  1.5e-157  4.2e-154  513.2  31.9   742  1050  1108  1430  1098  1444 0.94 | transcript=PVX_083335.1 | gene=PVX_083335 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasma membrane Ca2+ ATPase, putative | transcript_product=plasma membrane Ca2+ ATPase, putative | location=Pv_Sal1_chr12:193310-199134(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083335.1-p1      -           1669 1180at5820           -           1159         0 1841.8 149.8   7   7     3e-42   8.3e-39  131.4   4.6  1066  1159  1548  1641  1530  1641 0.95 | transcript=PVX_083335.1 | gene=PVX_083335 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasma membrane Ca2+ ATPase, putative | transcript_product=plasma membrane Ca2+ ATPase, putative | location=Pv_Sal1_chr12:193310-199134(-) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1180at5820           -           1159   0.00026   17.1  20.7   1   5      0.33   9.1e+02   -4.6   0.6   396   464    35    95    25   105 0.54 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1180at5820           -           1159   0.00026   17.1  20.7   2   5     4e-05      0.11    8.4   0.1   274   332   142   198   115   212 0.74 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1180at5820           -           1159   0.00026   17.1  20.7   3   5   6.6e-07    0.0018   14.3   0.4   375   523   213   358   197   377 0.84 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1180at5820           -           1159   0.00026   17.1  20.7   4   5   3.6e-05       0.1    8.6   0.0   811   885   905   979   836   983 0.87 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1180at5820           -           1159   0.00026   17.1  20.7   5   5     0.055   1.5e+02   -2.0   1.7  1055  1133  1100  1178  1089  1186 0.82 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1180at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1180at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1180at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:45 2026
# [ok]
