#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091430.1-p1      -            294 10500at5820          -            250  1.1e-143  475.3  25.4   1   1    2e-145  9.3e-143  472.3  25.4     1   250     1   279     1   279 0.92 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 10500at5820          -            250   1.9e-26   91.4  26.0   1   1   1.7e-28   7.9e-26   89.3  26.0     7   231   152   405   144   410 0.68 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111325.1-p1      -            281 10500at5820          -            250   6.7e-25   86.3   8.0   1   1   2.3e-27     1e-24   85.7   8.0    11   230    26   264    13   268 0.66 | transcript=PVX_111325.1 | gene=PVX_111325 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr06:553939-556527(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113640.1-p1      -            284 10500at5820          -            250   1.1e-24   85.6  29.7   1   1   2.4e-24   1.1e-21   75.7  29.7     7   232    24   262    19   270 0.67 | transcript=PVX_113640.1 | gene=PVX_113640 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr11:1617899-1619565(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 10500at5820          -            250     1e-17   62.7  27.1   1   1   9.2e-19   4.2e-16   57.5  27.1     9   219    45   290    38   331 0.66 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002745.1-p1      -            272 10500at5820          -            250   1.2e-17   62.5  22.2   1   1   1.5e-19   6.9e-17   60.0  22.2     8   164    10   166     4   254 0.78 | transcript=PVX_002745.1 | gene=PVX_002745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:235174-237527(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122880.1-p1      -            297 10500at5820          -            250   2.8e-15   54.8  22.6   1   2   2.9e-16   1.3e-13   49.3  17.8     8   159    40   195    34   216 0.71 | transcript=PVX_122880.1 | gene=PVX_122880 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:955183-957821(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122880.1-p1      -            297 10500at5820          -            250   2.8e-15   54.8  22.6   2   2    0.0016      0.72    7.6   2.2   147   218   200   276   188   289 0.69 | transcript=PVX_122880.1 | gene=PVX_122880 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:955183-957821(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 10500at5820          -            250     5e-14   50.7  11.0   1   2       6.8   3.1e+03   -4.3   1.6   141   147   272   278   241   321 0.53 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 10500at5820          -            250     5e-14   50.7  11.0   2   2   1.1e-16     5e-14   50.7  11.0    75   199   413   546   404   586 0.72 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 10500at5820          -            250   5.7e-10   37.4   8.7   1   3       1.3   6.1e+02   -2.0   0.1    44    65    36    60     7    64 0.68 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 10500at5820          -            250   5.7e-10   37.4   8.7   2   3   1.2e-12   5.7e-10   37.4   8.7   101   153   309   361   294   399 0.83 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
