#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089165.1-p1      -            318 9386at5820           -            279  4.7e-176  581.9   3.5   1   1  1.2e-178  6.2e-176  581.5   3.5    10   279    32   313    25   313 0.97 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 9386at5820           -            279   5.1e-16   56.9   2.9   1   1   1.8e-18   9.3e-16   56.0   2.9    11   268    11   290     4   300 0.74 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 9386at5820           -            279   8.5e-16   56.1   2.8   1   1   2.9e-18   1.5e-15   55.3   2.8    11   268    11   290     4   300 0.74 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 9386at5820           -            279   5.6e-10   37.0   6.1   1   3   8.1e-05     0.041   11.3   0.2   195   275    91   166    77   170 0.85 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 9386at5820           -            279   5.6e-10   37.0   6.1   2   3   5.5e-08   2.8e-05   21.6   0.1    13    84   220   293   207   311 0.85 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 9386at5820           -            279   5.6e-10   37.0   6.1   3   3    0.0039         2    5.7   0.3   198   270   419   499   398   507 0.67 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 9386at5820           -            279   9.1e-10   36.4   0.4   1   3      0.04        20    2.4   0.0    15    50    40    75    33    86 0.86 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 9386at5820           -            279   9.1e-10   36.4   0.4   2   3   0.00077      0.39    8.0   0.1    18    77   752   813   740   826 0.77 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 9386at5820           -            279   9.1e-10   36.4   0.4   3   3   5.2e-08   2.6e-05   21.7   0.0    12    87  1030  1108  1022  1117 0.84 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 9386at5820           -            279   5.6e-08   30.5   3.5   1   3    0.0042       2.1    5.6   0.1   197   231     6    40     2    69 0.74 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 9386at5820           -            279   5.6e-08   30.5   3.5   2   3   1.4e-05    0.0072   13.7   0.5   157   269    44   155    37   165 0.77 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
