#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   1   8   8.5e-12   5.9e-09   32.9   4.4     1    40     9    52     9    59 0.88 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   2   8   1.8e-28   1.3e-25   88.0   0.6    38   119    90   179    84   186 0.83 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   3   8   1.4e-05    0.0099   12.3   0.3   101   126   195   220   190   227 0.92 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   4   8   3.2e-20   2.2e-17   60.7   0.1   124   161   257   294   237   300 0.93 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   5   8  2.1e-116  1.5e-113  378.8  11.7   159   346   316   503   312   505 0.98 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   6   8  1.6e-147  1.1e-144  481.7  45.4   342   594   554   806   551   812 0.99 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   7   8   3.7e-35   2.6e-32  110.1   5.9   592   696   849   984   844   989 0.80 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   8   8     1e-33   7.2e-31  105.3   0.4   696   768  1015  1091  1005  1091 0.95 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002575.1-p1      -            945 2885at5820           -            768   2.1e-23   80.7  14.7   1   1   5.4e-26   3.7e-23   79.9  14.7   128   450   395   736   386   817 0.77 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002640.1-p1      -            330 2885at5820           -            768   1.3e-11   41.7   6.6   1   1   2.2e-14   1.5e-11   41.4   6.6   126   405     3   287     1   323 0.75 | transcript=PVX_002640.1 | gene=PVX_002640 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=Pv_Sal1_chr04:155279-156271(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100985.1-p1      -            336 2885at5820           -            768   4.7e-11   39.8   2.2   1   1     1e-13   7.2e-11   39.2   2.2   129   342    18   223     8   286 0.75 | transcript=PVX_100985.1 | gene=PVX_100985 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=Pv_Sal1_chr14:2565421-2566781(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
