#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093555.1-p1      -            256 10191at5820          -            228    8e-133  439.4  11.1   1   1    2e-134  1.4e-131  435.4  11.1     1   228     1   256     1   256 0.96 | transcript=PVX_093555.1 | gene=PVX_093555 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=Pv_Sal1_chr01:634033-634957(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087115.1-p1      -            282 10191at5820          -            228   2.7e-13   48.4   3.3   1   2   2.2e-09   1.5e-06   26.3   0.0     4    70    24    90    22   112 0.94 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087115.1-p1      -            282 10191at5820          -            228   2.7e-13   48.4   3.3   2   2   6.2e-08   4.3e-05   21.6   1.9    90   201   155   269   130   277 0.73 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094790.1-p1      -            273 10191at5820          -            228   2.5e-12   45.2   1.6   1   1     5e-14   3.5e-11   41.5   1.6     8   199    61   245    56   264 0.75 | transcript=PVX_094790.1 | gene=PVX_094790 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=Pv_Sal1_chr08:523301-524122(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082355.1-p1      -            270 10191at5820          -            228   1.2e-06   26.7   0.0   1   1   2.9e-07    0.0002   19.4   0.0   140   215   163   239    36   251 0.67 | transcript=PVX_082355.1 | gene=PVX_082355 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=Pv_Sal1_chr12:996702-997514(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081375.1-p1      -            218 10191at5820          -            228   1.9e-05   22.7   0.2   1   1   6.8e-08   4.7e-05   21.5   0.2     9   120     9   133     2   184 0.79 | transcript=PVX_081375.1 | gene=PVX_081375 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=Pv_Sal1_chr02:289551-290774(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081675.1-p1      -            256 10191at5820          -            228   3.2e-05   22.0   0.1   1   1     2e-07   0.00014   19.9   0.1     2   195    27   222    26   250 0.73 | transcript=PVX_081675.1 | gene=PVX_081675 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=Pv_Sal1_chr02:551285-552550(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080330.1-p1      -            241 10191at5820          -            228   0.00048   18.2   0.0   1   1   9.3e-07   0.00065   17.7   0.0     8    71    37   100    31   153 0.88 | transcript=PVX_080330.1 | gene=PVX_080330 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=Pv_Sal1_chr10:584772-586334(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124160.1-p1      -            207 10191at5820          -            228     0.014   13.3   0.0   1   1   3.4e-05     0.023   12.6   0.0     7    67    35    95    30   117 0.88 | transcript=PVX_124160.1 | gene=PVX_124160 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=Pv_Sal1_chr14:2101422-2102649(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10191at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10191at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10191at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:59 2026
# [ok]
