#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093575.1-p1      -           1064 2167at5820           -            898         0 1732.9 103.0   1   3         0         0 1668.2  57.4     1   818     1   861     1   863 0.94 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 2167at5820           -            898         0 1732.9 103.0   2   3     1e-08   1.4e-06   24.8  40.9   765   850   842   928   840   933 0.51 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 2167at5820           -            898         0 1732.9 103.0   3   3   1.2e-18   1.6e-16   57.7  11.3   777   898   941  1064   924  1064 0.52 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2167at5820           -            898     5e-62  208.3  21.3   1   4       2.9     4e+02   -3.1   4.3   720   769    82   132    31   199 0.69 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2167at5820           -            898     5e-62  208.3  21.3   2   4   1.3e-36   1.8e-34  117.2   8.5    88   440   507   844   504   847 0.87 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2167at5820           -            898     5e-62  208.3  21.3   3   4   1.5e-33   2.1e-31  107.0   4.8   492   649  1398  1554  1391  1559 0.95 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2167at5820           -            898     5e-62  208.3  21.3   4   4       3.4   4.7e+02   -3.3  23.8   678   812  1632  1775  1608  1792 0.50 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2167at5820           -            898   3.3e-59  199.0  25.4   1   5       2.8   3.8e+02   -3.0  15.7   750   878   170   306   167   316 0.40 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2167at5820           -            898   3.3e-59  199.0  25.4   2   5   3.6e-36     5e-34  115.7  12.9   138   436   325   603   301   607 0.82 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2167at5820           -            898   3.3e-59  199.0  25.4   3   5   4.6e-31   6.3e-29   98.8   4.5   490   673   618   803   611   834 0.91 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2167at5820           -            898   3.3e-59  199.0  25.4   4   5      0.97   1.3e+02   -1.5  11.3   755   859   852   928   800   963 0.40 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
