#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081270.1-p1      -           1508 2136at5820           -            816         0 1414.5  65.5   1   7   3.8e-68     1e-64  217.4   1.0     2   117     1   116     1   131 0.97 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081270.1-p1      -           1508 2136at5820           -            816         0 1414.5  65.5   2   7   1.2e-52   3.2e-49  166.2   3.8   115   213   171   269   163   284 0.89 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081270.1-p1      -           1508 2136at5820           -            816         0 1414.5  65.5   3   7   3.4e-05     0.095    9.2   0.3   207   239   292   325   281   330 0.87 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081270.1-p1      -           1508 2136at5820           -            816         0 1414.5  65.5   4   7   2.5e-09   6.9e-06   22.9   0.7   244   289   679   726   647   735 0.80 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081270.1-p1      -           1508 2136at5820           -            816         0 1414.5  65.5   5   7   2.4e-05     0.066    9.7   0.0   262   293   810   841   772   846 0.79 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081270.1-p1      -           1508 2136at5820           -            816         0 1414.5  65.5   6   7   6.3e-32   1.7e-28   97.6   0.4   293   362   909   980   906   983 0.94 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081270.1-p1      -           1508 2136at5820           -            816         0 1414.5  65.5   7   7  1.4e-279  3.9e-276  916.7  23.7   363   816  1037  1508  1032  1508 0.96 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 2136at5820           -            816   1.2e-05   22.0   3.2   1   2   2.2e-07    0.0006   16.4   0.2    11    96     7    90     2   104 0.81 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 2136at5820           -            816   1.2e-05   22.0   3.2   2   2   0.00021      0.57    6.6   0.7    70   138   101   169    93   175 0.73 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
