#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095135.1-p1      -            170 12744at5820          -            161  2.7e-105  347.5   1.3   1   1  6.1e-108  3.1e-105  347.4   1.3     1   161     3   170     3   170 0.98 | transcript=PVX_095135.1 | gene=PVX_095135 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr08:820773-821285(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_220290-t26_1-p1  -            217 12744at5820          -            161  6.3e-105  346.4   1.3   1   1  1.5e-107  7.5e-105  346.1   1.3     1   161     3   170     3   170 0.98 | transcript=PVX_220290-t26_1 | gene=PVX_220290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000961:234-887(-) | protein_length=217 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091425.1-p1      -            193 12744at5820          -            161     7e-59  196.7   0.9   1   1   1.6e-61   8.1e-59  196.5   0.9     3   159    30   191    28   193 0.92 | transcript=PVX_091425.1 | gene=PVX_091425 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=Pv_Sal1_chr09:506146-507236(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093520.1-p1      -            262 12744at5820          -            161   2.4e-51  172.2   1.5   1   1   4.8e-54   2.4e-51  172.2   1.5     4   161    95   262    92   262 0.89 | transcript=PVX_093520.1 | gene=PVX_093520 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:592578-593366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084165.1-p1      -            226 12744at5820          -            161   1.1e-45  153.7   0.5   1   1   2.7e-48   1.4e-45  153.5   0.5     3   160     7   173     5   174 0.89 | transcript=PVX_084165.1 | gene=PVX_084165 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:59247-60936(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 12744at5820          -            161   2.1e-37  126.8   0.3   1   1   9.9e-40     5e-37  125.7   0.3    15   144   594   715   585   723 0.88 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079815.1-p1      -            203 12744at5820          -            161   3.3e-36  123.0   0.2   1   1   1.1e-38   5.6e-36  122.2   0.2    11   143    53   177    45   189 0.91 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091445.1-p1      -            167 12744at5820          -            161   1.4e-33  114.5   0.5   1   1   4.4e-36   2.2e-33  113.8   0.5    11   146     8   136     2   148 0.91 | transcript=PVX_091445.1 | gene=PVX_091445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr09:527745-529327(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123445.1-p1      -            276 12744at5820          -            161     1e-32  111.6   0.7   1   1   2.8e-35   1.4e-32  111.2   0.7     1   159    61   222    61   224 0.92 | transcript=PVX_123445.1 | gene=PVX_123445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr14:1444175-1445005(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093595.1-p1      -            578 12744at5820          -            161   5.8e-13   47.4   0.6   1   1     1e-13   5.2e-11   41.1   0.6    11   144    17   174     6   195 0.69 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085320.1-p1      -            456 12744at5820          -            161   7.1e-13   47.1   0.2   1   1   2.5e-15   1.3e-12   46.3   0.2    16   134    25   137    14   150 0.87 | transcript=PVX_085320.1 | gene=PVX_085320 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:1100742-1103354(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
