#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097920.1-p1      -            606 9065at5820           -            376    1e-174  579.0  11.7   1   3   8.3e-24   9.2e-21   72.4   0.0     8    77   140   215   135   219 0.90 | transcript=PVX_097920.1 | gene=PVX_097920 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like serine protease, putative | transcript_product=subtilisin-like serine protease, putative | location=Pv_Sal1_chr10:1048195-1050015(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097920.1-p1      -            606 9065at5820           -            376    1e-174  579.0  11.7   2   3   2.9e-26   3.2e-23   80.5   0.1    76   145   252   325   247   335 0.82 | transcript=PVX_097920.1 | gene=PVX_097920 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like serine protease, putative | transcript_product=subtilisin-like serine protease, putative | location=Pv_Sal1_chr10:1048195-1050015(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097920.1-p1      -            606 9065at5820           -            376    1e-174  579.0  11.7   3   3  3.6e-132    4e-129  429.0   5.0   141   375   350   592   345   593 0.97 | transcript=PVX_097920.1 | gene=PVX_097920 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like serine protease, putative | transcript_product=subtilisin-like serine protease, putative | location=Pv_Sal1_chr10:1048195-1050015(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097935.1-p1      -            619 9065at5820           -            376   1.9e-53  180.0  11.8   1   3   0.00086      0.95    6.5   0.0    15    77   137   199   127   215 0.89 | transcript=PVX_097935.1 | gene=PVX_097935 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=Pv_Sal1_chr10:1039233-1041126(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097935.1-p1      -            619 9065at5820           -            376   1.9e-53  180.0  11.8   2   3   2.6e-08   2.9e-05   21.4   0.1   101   147   293   339   257   343 0.78 | transcript=PVX_097935.1 | gene=PVX_097935 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=Pv_Sal1_chr10:1039233-1041126(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097935.1-p1      -            619 9065at5820           -            376   1.9e-53  180.0  11.8   3   3   4.7e-49   5.2e-46  155.5   4.4   141   376   367   598   347   598 0.93 | transcript=PVX_097935.1 | gene=PVX_097935 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=Pv_Sal1_chr10:1039233-1041126(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092460.1-p1      -           1410 9065at5820           -            376   5.9e-29   99.3   7.7   1   1   3.2e-30   3.5e-27   93.5   7.7   113   366   877  1148   871  1157 0.82 | transcript=PVX_092460.1 | gene=PVX_092460 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like protease 2, putative | transcript_product=subtilisin-like protease 2, putative | location=Pv_Sal1_chr09:1401409-1405782(+) | protein_length=1410 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097925.1-p1      -            952 9065at5820           -            376   1.9e-17   61.4   0.0   1   2     0.024        27    1.7   0.0   118   133   162   177   153   189 0.80 | transcript=PVX_097925.1 | gene=PVX_097925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1043812-1046670(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097925.1-p1      -            952 9065at5820           -            376   1.9e-17   61.4   0.0   2   2   1.4e-18   1.5e-15   55.2   0.0   141   374   226   486   205   488 0.74 | transcript=PVX_097925.1 | gene=PVX_097925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1043812-1046670(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096350.1-p1      -           1300 9065at5820           -            376    0.0069   13.5   0.3   1   1   1.1e-05     0.012   12.7   0.3   247   295   518   566   508   577 0.86 | transcript=PVX_096350.1 | gene=PVX_096350 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:581624-585526(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
