#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090860.1-p1      -            585 4554at5820           -            495  6.8e-271  897.3  50.4   1   1  4.6e-273  2.8e-270  895.2  50.4     2   495    16   585    15   585 0.92 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 4554at5820           -            495   3.5e-58  195.7  60.7   1   6   4.6e-23   2.8e-20   70.6  13.2   173   312    94   232    89   234 0.88 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 4554at5820           -            495   3.5e-58  195.7  60.7   2   6   1.5e-16     9e-14   49.2   3.7   178   312   222   365   219   367 0.81 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 4554at5820           -            495   3.5e-58  195.7  60.7   3   6     3e-12   1.8e-09   35.0   3.7   191   290   305   407   286   414 0.85 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 4554at5820           -            495   3.5e-58  195.7  60.7   4   6   4.7e-14   2.9e-11   40.9   7.6   171   312   651   813   644   821 0.76 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 4554at5820           -            495   3.5e-58  195.7  60.7   5   6   1.1e-15   6.6e-13   46.4   6.6   210   313   942  1045   930  1061 0.81 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 4554at5820           -            495   3.5e-58  195.7  60.7   6   6   0.00029      0.18    8.6   0.0   385   410  1084  1109  1069  1122 0.66 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 4554at5820           -            495   6.6e-41  138.7  31.2   1   3   7.6e-27   4.6e-24   83.1  15.4   174   315    32   171    25   173 0.91 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 4554at5820           -            495   6.6e-41  138.7  31.2   2   3   2.9e-08   1.8e-05   21.8   0.4   254   312   172   229   169   237 0.93 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 4554at5820           -            495   6.6e-41  138.7  31.2   3   3     4e-15   2.4e-12   44.5   2.2   194   297   240   343   236   361 0.85 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 4554at5820           -            495   6.5e-39  132.1  46.1   1   3   5.5e-24   3.4e-21   73.7  19.3   172   313   207   352   197   357 0.81 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
