#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123590.1-p1      -            611 5219at5820           -            490  1.1e-276  916.7 105.4   1   3     2e-91   3.6e-88  294.9  32.2     1   176     1   187     1   198 0.91 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 5219at5820           -            490  1.1e-276  916.7 105.4   2   3     1e-60   1.8e-57  193.6  26.9   140   263   181   308   178   312 0.93 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 5219at5820           -            490  1.1e-276  916.7 105.4   3   3  4.9e-135  8.9e-132  438.8  33.4   261   490   359   611   348   611 0.95 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 5219at5820           -            490   1.2e-49  167.9  41.9   1   4   7.2e-22   1.3e-18   65.5  14.8     2   130     4   136     3   148 0.88 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 5219at5820           -            490   1.2e-49  167.9  41.9   2   4     5e-16   9.2e-13   46.2   2.8   191   263   151   224   134   230 0.85 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 5219at5820           -            490   1.2e-49  167.9  41.9   3   4   1.3e-09   2.4e-06   25.1   4.9   254   394   254   383   246   406 0.75 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 5219at5820           -            490   1.2e-49  167.9  41.9   4   4   3.2e-15   5.9e-12   43.5   0.5   441   489   407   455   398   456 0.95 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091610.1-p1      -            478 5219at5820           -            490   3.7e-32  110.2  31.4   1   3   1.1e-13   2.1e-10   38.4   2.4     3   122     4   127     2   144 0.81 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091610.1-p1      -            478 5219at5820           -            490   3.7e-32  110.2  31.4   2   3   8.9e-21   1.6e-17   61.9  11.8   188   401   198   416   174   423 0.80 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091610.1-p1      -            478 5219at5820           -            490   3.7e-32  110.2  31.4   3   3   9.7e-08   0.00018   18.9   2.0   444   490   429   476   419   476 0.87 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5219at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5219at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5219at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:53 2026
# [ok]
