#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085205.1-p1      -            695 5083at5820           -            549         0 1012.3  47.3   1   2  1.3e-178    7e-176  584.5   5.0     1   289    32   332    32   336 0.97 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 5083at5820           -            549         0 1012.3  47.3   2   2  7.2e-132    4e-129  430.2  34.3   285   549   391   695   386   695 0.93 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 5083at5820           -            549   8.8e-27   92.3   6.5   1   4   3.3e-07   0.00018   18.7   0.1     5    89   382   474   378   492 0.81 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 5083at5820           -            549   8.8e-27   92.3   6.5   2   4   8.7e-11   4.8e-08   30.5   0.1   128   198   568   637   540   650 0.81 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 5083at5820           -            549   8.8e-27   92.3   6.5   3   4     0.058        32    1.4   0.0    31    56  1190  1214  1161  1236 0.77 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 5083at5820           -            549   8.8e-27   92.3   6.5   4   4   5.2e-14   2.9e-11   41.1   0.1    68   215  1287  1429  1262  1447 0.79 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 5083at5820           -            549   2.3e-15   54.6   0.2   1   3        10   5.5e+03   -7.0   7.3   314   453    23   170     9   186 0.53 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 5083at5820           -            549   2.3e-15   54.6   0.2   2   3       1.6     9e+02   -3.4   0.5    89   117   518   545   474   638 0.61 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 5083at5820           -            549   2.3e-15   54.6   0.2   3   3   4.2e-18   2.3e-15   54.6   0.2     7   229   693   914   688   925 0.76 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 5083at5820           -            549   2.3e-13   48.0   4.5   1   3      0.65   3.6e+02   -2.1   0.1    71   106   234   270   204   283 0.69 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 5083at5820           -            549   2.3e-13   48.0   4.5   2   3   6.4e-08   3.5e-05   21.0   0.0   138   194   361   414   353   430 0.88 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 5083at5820           -            549   2.3e-13   48.0   4.5   3   3   1.6e-09   8.6e-07   26.3   0.4    37   182   606   738   599   755 0.76 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 5083at5820           -            549   9.3e-11   39.4   3.5   1   3      0.22   1.2e+02   -0.6   1.1   392   470   450   530   440   560 0.56 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 5083at5820           -            549   9.3e-11   39.4   3.5   2   3   1.6e-07   8.9e-05   19.7   0.0    30    70   623   668   603   708 0.66 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 5083at5820           -            549   9.3e-11   39.4   3.5   3   3   4.9e-07   0.00027   18.1   0.0   140   187   816   863   778   876 0.83 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 5083at5820           -            549     2e-09   35.0   0.3   1   1     5e-12   2.7e-09   34.6   0.3    16   197   113   305   102   342 0.76 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 5083at5820           -            549   2.2e-08   31.6   1.6   1   2        10   5.5e+03   -7.1   7.9   404   520   322   437   195   465 0.68 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 5083at5820           -            549   2.2e-08   31.6   1.6   2   2     4e-11   2.2e-08   31.6   1.6     6   220   557   777   553   782 0.75 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 5083at5820           -            549   3.9e-08   30.8   3.0   1   3     3e-05     0.017   12.2   0.6    38   195   122   286   108   296 0.61 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 5083at5820           -            549   3.9e-08   30.8   3.0   2   3    0.0083       4.6    4.2   0.0     6    54   365   410   360   428 0.79 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
