#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097770.1-p1      -           1914 595at5820            -           1280         0 2431.8 111.1   1   7   4.6e-89   6.3e-86  287.5   8.2     1   181     1   192     1   198 0.93 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 595at5820            -           1280         0 2431.8 111.1   2   7  2.2e-129    3e-126  421.1  13.5   178   391   315   529   307   544 0.96 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 595at5820            -           1280         0 2431.8 111.1   3   7  9.4e-115  1.3e-111  372.6   6.2   389   594   592   799   581   803 0.92 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 595at5820            -           1280         0 2431.8 111.1   4   7     0.083   1.1e+02   -1.6   0.1   566   585   916   935   913   942 0.85 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 595at5820            -           1280         0 2431.8 111.1   5   7  7.4e-149    1e-145  485.6  18.9   581   842  1047  1316  1021  1335 0.93 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 595at5820            -           1280         0 2431.8 111.1   6   7     0.003       4.1    3.2   0.2   840   856  1344  1360  1339  1363 0.90 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 595at5820            -           1280         0 2431.8 111.1   7   7  6.2e-272  8.6e-269  893.3  22.7   853  1280  1474  1914  1455  1914 0.97 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 595at5820            -           1280   4.2e-35  119.1  71.1   1   6    0.0084        12    1.7   8.3   140   216   189   265   136   282 0.75 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 595at5820            -           1280   4.2e-35  119.1  71.1   2   6   5.2e-14   7.2e-11   38.9   1.9   241   391   433   587   419   594 0.80 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 595at5820            -           1280   4.2e-35  119.1  71.1   3   6   1.1e-13   1.5e-10   37.8   7.4   385   550   634   812   621   833 0.73 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 595at5820            -           1280   4.2e-35  119.1  71.1   4   6     1e-11   1.4e-08   31.3   0.3   706   826  1031  1151  1026  1163 0.86 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
