#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118570.1-p1      -            934 2819at5820           -            673         0 1306.6  39.1   1   5   7.3e-81     1e-77  260.2   2.6     1   123     1   127     1   135 0.92 | transcript=PVX_118570.1 | gene=PVX_118570 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage and polyadenylation specificity factor, putative | transcript_product=cleavage and polyadenylation specificity factor, putative | location=Pv_Sal1_chr12:2837588-2840392(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118570.1-p1      -            934 2819at5820           -            673         0 1306.6  39.1   2   5  7.3e-243    1e-239  795.6   4.2   120   488   167   535   162   541 0.99 | transcript=PVX_118570.1 | gene=PVX_118570 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage and polyadenylation specificity factor, putative | transcript_product=cleavage and polyadenylation specificity factor, putative | location=Pv_Sal1_chr12:2837588-2840392(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118570.1-p1      -            934 2819at5820           -            673         0 1306.6  39.1   3   5   4.5e-26   6.2e-23   79.2   0.1   484   541   604   664   595   668 0.92 | transcript=PVX_118570.1 | gene=PVX_118570 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage and polyadenylation specificity factor, putative | transcript_product=cleavage and polyadenylation specificity factor, putative | location=Pv_Sal1_chr12:2837588-2840392(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118570.1-p1      -            934 2819at5820           -            673         0 1306.6  39.1   4   5   2.7e-33   3.8e-30  103.0   1.0   541   613   688   770   684   779 0.90 | transcript=PVX_118570.1 | gene=PVX_118570 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage and polyadenylation specificity factor, putative | transcript_product=cleavage and polyadenylation specificity factor, putative | location=Pv_Sal1_chr12:2837588-2840392(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118570.1-p1      -            934 2819at5820           -            673         0 1306.6  39.1   5   5   5.7e-29   7.9e-26   88.7   3.9   614   673   875   934   860   934 0.93 | transcript=PVX_118570.1 | gene=PVX_118570 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage and polyadenylation specificity factor, putative | transcript_product=cleavage and polyadenylation specificity factor, putative | location=Pv_Sal1_chr12:2837588-2840392(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_209290-t26_1-p1  -            858 2819at5820           -            673         0 1233.6  25.0   1   4   6.5e-81   8.9e-78  260.4   2.6     1   123     1   127     1   135 0.92 | transcript=PVX_209290-t26_1 | gene=PVX_209290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000246:721-3423(-) | protein_length=858 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_209290-t26_1-p1  -            858 2819at5820           -            673         0 1233.6  25.0   2   4  6.1e-243  8.4e-240  795.9   4.2   120   488   167   535   162   541 0.99 | transcript=PVX_209290-t26_1 | gene=PVX_209290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000246:721-3423(-) | protein_length=858 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_209290-t26_1-p1  -            858 2819at5820           -            673         0 1233.6  25.0   3   4   2.7e-59   3.8e-56  189.0   2.3   484   613   604   745   595   759 0.91 | transcript=PVX_209290-t26_1 | gene=PVX_209290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000246:721-3423(-) | protein_length=858 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_209290-t26_1-p1  -            858 2819at5820           -            673         0 1233.6  25.0   4   4      0.51     7e+02   -3.6   0.0   615   629   834   848   828   850 0.80 | transcript=PVX_209290-t26_1 | gene=PVX_209290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000246:721-3423(-) | protein_length=858 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_221290-t26_1-p1  -            289 2819at5820           -            673  3.4e-152  506.4  15.7   1   2   8.8e-82   1.2e-78  263.3   2.6     1   123     1   127     1   135 0.92 | transcript=PVX_221290-t26_1 | gene=PVX_221290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001449:97-965(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_221290-t26_1-p1  -            289 2819at5820           -            673  3.4e-152  506.4  15.7   2   2   1.9e-77   2.6e-74  249.0   5.4   120   242   167   289   161   289 0.98 | transcript=PVX_221290-t26_1 | gene=PVX_221290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001449:97-965(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_095300.1-p1      -            911 2819at5820           -            673   6.8e-71  237.7   3.8   1   3   5.8e-06    0.0081   12.7   0.0     3    35     8    43     6    54 0.83 | transcript=PVX_095300.1 | gene=PVX_095300 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-metabolising metallo-beta-lactamase domain containing protein | transcript_product=RNA-metabolising metallo-beta-lactamase domain containing protein | location=Pv_Sal1_chr08:971384-974119(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095300.1-p1      -            911 2819at5820           -            673   6.8e-71  237.7   3.8   2   3   2.9e-70     4e-67  225.2   0.8    53   496   110   560   101   583 0.83 | transcript=PVX_095300.1 | gene=PVX_095300 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-metabolising metallo-beta-lactamase domain containing protein | transcript_product=RNA-metabolising metallo-beta-lactamase domain containing protein | location=Pv_Sal1_chr08:971384-974119(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095300.1-p1      -            911 2819at5820           -            673   6.8e-71  237.7   3.8   3   3      0.45   6.2e+02   -3.4   0.0   580   606   793   819   788   835 0.77 | transcript=PVX_095300.1 | gene=PVX_095300 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-metabolising metallo-beta-lactamase domain containing protein | transcript_product=RNA-metabolising metallo-beta-lactamase domain containing protein | location=Pv_Sal1_chr08:971384-974119(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2819at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2819at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2819at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:02 2026
# [ok]
