#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093615.1-p1      -           1296 1942at5820           -            861         0 1300.6  74.4   1   7         0         0 1011.2  26.1     1   546     1   573     1   582 0.97 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 1942at5820           -            861         0 1300.6  74.4   2   7     9e-11   1.7e-07   28.1   0.0   549   579   614   644   605   651 0.88 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 1942at5820           -            861         0 1300.6  74.4   3   7   2.3e-37   4.2e-34  116.1  12.4   578   656   721   799   718   809 0.95 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 1942at5820           -            861         0 1300.6  74.4   4   7   1.3e-17   2.4e-14   50.8   0.1   653   705   827   879   820   889 0.93 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 1942at5820           -            861         0 1300.6  74.4   5   7   2.1e-08   3.9e-05   20.3   0.0   701   733   990  1023   984  1026 0.89 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 1942at5820           -            861         0 1300.6  74.4   6   7   2.6e-17   4.8e-14   49.8  10.2   760   832  1142  1222  1083  1233 0.82 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 1942at5820           -            861         0 1300.6  74.4   7   7   2.5e-13   4.6e-10   36.6   0.1   810   861  1243  1294  1226  1294 0.88 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 1942at5820           -            861   2.3e-31  107.1  30.9   1   4   3.1e-05     0.057    9.8   0.6    21   109    21   116     1   175 0.71 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 1942at5820           -            861   2.3e-31  107.1  30.9   2   4   1.7e-05     0.032   10.6   0.2   120   154   212   246   199   253 0.82 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 1942at5820           -            861   2.3e-31  107.1  30.9   3   4   4.4e-24   8.1e-21   72.2   5.4   163   330   289   457   280   475 0.87 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114695.1-p1      -            820 1942at5820           -            861   2.3e-31  107.1  30.9   4   4   6.5e-11   1.2e-07   28.6   5.2   383   501   562   689   558   803 0.77 | transcript=PVX_114695.1 | gene=PVX_114695 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=Pv_Sal1_chr11:707414-709876(+) | protein_length=820 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 1942at5820           -            861   8.1e-24   82.1  50.6   1   4      0.31   5.6e+02   -3.4   3.5    62   112    75   128    40   158 0.70 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 1942at5820           -            861   8.1e-24   82.1  50.6   2   4   6.8e-17   1.3e-13   48.4   6.9   127   252   710   853   690   857 0.74 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
