#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111185.1-p1      -            236 11812at5820          -            168   2.8e-73  243.7  29.3   1   3   7.3e-28   3.1e-25   87.4   1.6     1    59     1    60     1    73 0.95 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 11812at5820          -            168   2.8e-73  243.7  29.3   2   3   2.6e-05     0.011   14.0   2.8    57    80   101   124    86   132 0.87 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 11812at5820          -            168   2.8e-73  243.7  29.3   3   3     2e-48   8.6e-46  154.3   9.7    74   168   141   235   128   235 0.95 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 11812at5820          -            168   9.1e-19   66.3   3.4   1   2   5.4e-09   2.3e-06   26.0   0.1     3    55     3    56     1    63 0.90 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 11812at5820          -            168   9.1e-19   66.3   3.4   2   2   1.1e-13   4.8e-11   41.2   0.6    82   164    63   145    57   148 0.93 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 11812at5820          -            168   5.3e-10   37.8   2.4   1   2   0.00013     0.055   11.7   0.0     5    52    21    69    17    77 0.82 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 11812at5820          -            168   5.3e-10   37.8   2.4   2   2   5.4e-09   2.3e-06   26.0   1.5    74   157    71   154    59   166 0.87 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 11812at5820          -            168     3e-09   35.4  10.9   1   2   5.8e-06    0.0025   16.1   0.3     7    55    23    72    17    78 0.81 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 11812at5820          -            168     3e-09   35.4  10.9   2   2   1.1e-07   4.8e-05   21.7   5.2    81   147    78   144    70   164 0.90 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 11812at5820          -            168   8.8e-09   33.9   8.8   1   2   4.7e-05      0.02   13.2   0.8     4    53    31    81    29    88 0.75 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 11812at5820          -            168   8.8e-09   33.9   8.8   2   2   2.4e-08     1e-05   23.9   4.1    71   149    79   157    70   176 0.88 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101215.1-p1      -            209 11812at5820          -            168   1.4e-07   30.0   3.6   1   2      0.67   2.9e+02   -0.3   0.2    53    83    54    84    41    92 0.63 | transcript=PVX_101215.1 | gene=PVX_101215 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A tail domain interacting protein MTIP, putative | transcript_product=myosin A tail domain interacting protein MTIP, putative | location=Pv_Sal1_chr14:2729679-2730308(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101215.1-p1      -            209 11812at5820          -            168   1.4e-07   30.0   3.6   2   2   3.2e-10   1.4e-07   30.0   1.7    82   162   126   204    72   208 0.88 | transcript=PVX_101215.1 | gene=PVX_101215 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A tail domain interacting protein MTIP, putative | transcript_product=myosin A tail domain interacting protein MTIP, putative | location=Pv_Sal1_chr14:2729679-2730308(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122947.1-p1      -            244 11812at5820          -            168   1.4e-07   29.9  31.8   1   2     0.011       4.7    5.5   6.0     5    79    10    83     7    96 0.75 | transcript=PVX_122947.1 | gene=PVX_122947 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr14:1024055-1025199(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122947.1-p1      -            244 11812at5820          -            168   1.4e-07   29.9  31.8   2   2   5.7e-10   2.4e-07   29.2  18.5    58   163   112   232    90   237 0.64 | transcript=PVX_122947.1 | gene=PVX_122947 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr14:1024055-1025199(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 11812at5820          -            168   1.9e-07   29.5   5.2   1   4       1.6   6.6e+02   -1.5   1.3     8    46    90   128    83   171 0.61 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 11812at5820          -            168   1.9e-07   29.5   5.2   2   4      0.18        77    1.5   1.4    54    87   173   206   158   256 0.85 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 11812at5820          -            168   1.9e-07   29.5   5.2   3   4       2.1   8.8e+02   -1.9   4.9    23   121   303   403   293   425 0.66 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 11812at5820          -            168   1.9e-07   29.5   5.2   4   4   4.5e-10   1.9e-07   29.5   5.2    64   164   559   655   519   658 0.79 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 11812at5820          -            168   2.1e-07   29.4  12.5   1   3   5.2e-06    0.0022   16.3   1.3   103   147    17    62     8    70 0.83 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 11812at5820          -            168   2.1e-07   29.4  12.5   2   3   1.6e-05    0.0069   14.7   6.3    76   157    63   144    53   145 0.86 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 11812at5820          -            168   2.1e-07   29.4  12.5   3   3      0.02       8.7    4.6   0.3    22    36   138   152   132   159 0.82 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085540.1-p1      -            136 11812at5820          -            168   5.1e-05   21.6   4.0   1   2     0.024        10    4.4   0.1    12    48     7    44     3    66 0.72 | transcript=PVX_085540.1 | gene=PVX_085540 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:1260591-1261001(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085540.1-p1      -            136 11812at5820          -            168   5.1e-05   21.6   4.0   2   2   2.6e-06    0.0011   17.3   2.3   103   156    72   125    47   134 0.88 | transcript=PVX_085540.1 | gene=PVX_085540 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:1260591-1261001(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
