#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091880.1-p1      -            246 13512at5820          -            166   7.5e-75  248.8  17.6   1   2   6.6e-43   9.1e-40  134.7   1.9     1    76     4    79     4    83 0.97 | transcript=PVX_091880.1 | gene=PVX_091880 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:919785-921086(-) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091880.1-p1      -            246 13512at5820          -            166   7.5e-75  248.8  17.6   2   2   3.2e-38   4.4e-35  119.4   8.2    76   165   117   226   111   227 0.85 | transcript=PVX_091880.1 | gene=PVX_091880 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:919785-921086(-) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 13512at5820          -            166   1.4e-30  104.8   0.2   1   5   1.1e-07   0.00016   20.1   0.0    15    66    11    62     5    87 0.80 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 13512at5820          -            166   1.4e-30  104.8   0.2   2   5   1.3e-07   0.00017   19.9   0.0    15    66    87   138    77   162 0.80 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 13512at5820          -            166   1.4e-30  104.8   0.2   3   5   1.2e-07   0.00017   20.0   0.0    15    66   163   214   153   239 0.80 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 13512at5820          -            166   1.4e-30  104.8   0.2   4   5   1.4e-07    0.0002   19.7   0.0    15    65   239   289   233   313 0.81 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 13512at5820          -            166   1.4e-30  104.8   0.2   5   5   2.1e-07   0.00029   19.2   0.0    15    64   315   364   306   373 0.85 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115255.1-p1      -            128 13512at5820          -            166   2.2e-05   22.9   0.0   1   1   2.3e-08   3.2e-05   22.3   0.0    15    64    11    60     4    73 0.84 | transcript=PVX_115255.1 | gene=PVX_115255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=Pv_Sal1_chr11:205671-206477(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122475.1-p1      -             76 13512at5820          -            166     0.011   14.0   0.0   1   1   8.1e-06     0.011   14.0   0.0    30    63    26    59     5    69 0.79 | transcript=PVX_122475.1 | gene=PVX_122475 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr14:603605-604122(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13512at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13512at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13512at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:30 2026
# [ok]
