#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002770.1-p1      -            806 4771at5820           -            726         0 1018.2  12.8   1   1         0         0 1014.8  12.8    15   726    32   806     4   806 0.75 | transcript=PVX_002770.1 | gene=PVX_002770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:253971-256391(+) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 4771at5820           -            726   0.00016   18.4  14.8   1   1   9.2e-07    0.0002   18.1  14.8   422   536   246   352   119   379 0.54 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082700.1-p1      -            420 4771at5820           -            726     0.013   12.0   9.9   1   1   8.9e-05     0.019   11.5   9.9   364   522    12   170     9   188 0.44 | transcript=PVX_082700.1 | gene=PVX_082700 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 7 (MSP7) | transcript_product=merozoite surface protein 7 (MSP7) | location=Pv_Sal1_chr12:755053-756315(+) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 4771at5820           -            726     0.025   11.1  35.5   1   1   0.00018     0.038   10.5  35.5   389   523    68   208    43   225 0.39 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087905.1-p1      -            325 4771at5820           -            726     0.028   11.0  13.0   1   1   0.00017     0.036   10.6  13.0   373   543    16   198     8   237 0.41 | transcript=PVX_087905.1 | gene=PVX_087905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:278555-279532(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122995.1-p1      -            436 4771at5820           -            726     0.056   10.0  13.7   1   1   0.00037     0.078    9.5  13.7   418   547    80   211    72   215 0.55 | transcript=PVX_122995.1 | gene=PVX_122995 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr14:1058168-1059478(-) | protein_length=436 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122365.1-p1      -            158 4771at5820           -            726     0.065    9.8  12.8   1   1   0.00027     0.057    9.9  12.8   452   521    87   155    13   158 0.61 | transcript=PVX_122365.1 | gene=PVX_122365 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:516583-517059(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 4771at5820           -            726      0.14    8.7  40.8   1   1   0.00088      0.19    8.2  40.8   407   533   114   241    69   256 0.31 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094555.1-p1      -            529 4771at5820           -            726      0.17    8.3  27.0   1   1    0.0011      0.24    7.9  27.0   377   495   392   510   365   528 0.31 | transcript=PVX_094555.1 | gene=PVX_094555 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rho-GTPase-activating protein 1, putative | transcript_product=Rho-GTPase-activating protein 1, putative | location=Pv_Sal1_chr08:327097-329386(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 4771at5820           -            726      0.21    8.1  28.6   1   2    0.0011      0.23    7.9  10.8   445   517   214   287   176   312 0.49 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 4771at5820           -            726      0.21    8.1  28.6   2   2    0.0041      0.87    6.0   9.8   434   524   402   458   342   492 0.42 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113225.1-p1      -            332 4771at5820           -            726      0.22    8.0  15.2   1   1    0.0012      0.26    7.8  15.2   400   517    80   194    34   241 0.50 | transcript=PVX_113225.1 | gene=PVX_113225 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr11:2011317-2012528(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 4771at5820           -            726      0.52    6.8   5.6   1   1    0.0036      0.77    6.2   5.6   464   493   489   518   425   532 0.57 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081440.1-p1      -            292 4771at5820           -            726      0.67    6.4  14.2   1   1     0.004      0.84    6.1  14.2   388   468    66   137    42   183 0.36 | transcript=PVX_081440.1 | gene=PVX_081440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:344250-345128(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 4771at5820           -            726      0.84    6.1  31.0   1   1    0.0066       1.4    5.3  31.0   386   526    71   218    53   232 0.44 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099500.1-p1      -           1580 4771at5820           -            726       1.1    5.6  28.1   1   3       1.2   2.5e+02   -2.1   0.0   485   558   224   296   207   308 0.58 | transcript=PVX_099500.1 | gene=PVX_099500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:815841-820695(+) | protein_length=1580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099500.1-p1      -           1580 4771at5820           -            726       1.1    5.6  28.1   2   3       4.4   9.3e+02   -4.0   0.0   537   552  1196  1211  1188  1212 0.77 | transcript=PVX_099500.1 | gene=PVX_099500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:815841-820695(+) | protein_length=1580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099500.1-p1      -           1580 4771at5820           -            726       1.1    5.6  28.1   3   3    0.0086       1.8    5.0  26.9   390   531  1423  1577  1388  1580 0.44 | transcript=PVX_099500.1 | gene=PVX_099500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:815841-820695(+) | protein_length=1580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089900.1-p1      -            218 4771at5820           -            726       1.4    5.3  18.0   1   1    0.0076       1.6    5.1  18.0   379   508    63   192    26   204 0.57 | transcript=PVX_089900.1 | gene=PVX_089900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:924985-925641(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 4771at5820           -            726       1.9    4.9  26.2   1   2     0.024         5    3.5  23.4   375   538     6   181     1   185 0.47 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 4771at5820           -            726       1.9    4.9  26.2   2   2      0.08        17    1.8   0.0   580   631   374   421   368   427 0.76 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088895.1-p1      -            216 4771at5820           -            726       2.4    4.6  28.4   1   1     0.014       3.1    4.2  28.4   387   534    17   171     5   183 0.42 | transcript=PVX_088895.1 | gene=PVX_088895 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:138407-140110(-) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123765.1-p1      -            193 4771at5820           -            726       2.7    4.4  14.1   1   1     0.016       3.4    4.1  14.1   421   519     9   109     2   130 0.35 | transcript=PVX_123765.1 | gene=PVX_123765 | organism=Plasmodium_vivax_Sal-1 | gene_product=glideosome-associated protein 45, putative | transcript_product=glideosome-associated protein 45, putative | location=Pv_Sal1_chr14:1766204-1766785(+) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123170.1-p1      -            544 4771at5820           -            726         3    4.2  18.5   1   2   0.00037      0.08    9.5  11.6   432   538   133   230    17   234 0.44 | transcript=PVX_123170.1 | gene=PVX_123170 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1196826-1198639(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123170.1-p1      -            544 4771at5820           -            726         3    4.2  18.5   2   2         1   2.2e+02   -1.9   0.6   456   487   506   537   445   543 0.53 | transcript=PVX_123170.1 | gene=PVX_123170 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1196826-1198639(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101130.1-p1      -            205 4771at5820           -            726       3.4    4.1  36.5   1   1     0.021       4.5    3.7  36.5   397   535    56   172    17   201 0.30 | transcript=PVX_101130.1 | gene=PVX_101130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2662851-2663816(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085567.1-p1      -            228 4771at5820           -            726       4.2    3.8  23.6   1   1     0.023       4.9    3.5  23.6   419   534    33   150     4   179 0.40 | transcript=PVX_085567.1 | gene=PVX_085567 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1286917-1288472(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118665.1-p1      -            255 4771at5820           -            726       4.9    3.6  24.5   1   1     0.031       6.5    3.1  24.5   421   530   120   233   108   246 0.36 | transcript=PVX_118665.1 | gene=PVX_118665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2958519-2959393(+) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000010.1-p1      -            380 4771at5820           -            726       5.1    3.5  14.3   1   1     0.033       7.1    3.0  14.3   397   517   112   221    77   235 0.42 | transcript=PVX_000010.1 | gene=PVX_000010 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr03:962065-963346(-) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091600.1-p1      -            316 4771at5820           -            726       6.5    3.1  16.0   1   1     0.041       8.8    2.7  16.0   367   500   173   303   169   314 0.40 | transcript=PVX_091600.1 | gene=PVX_091600 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=Pv_Sal1_chr09:634501-635451(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124000.1-p1      -            913 4771at5820           -            726       8.6    2.7  25.0   1   1      0.06        13    2.2  25.0   386   478    53   136    16   149 0.33 | transcript=PVX_124000.1 | gene=PVX_124000 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1959895-1962636(-) | protein_length=913 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4771at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4771at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4771at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:58 2026
# [ok]
