#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081675.1-p1      -            256 10067at5820          -            223    1e-143  474.8   3.2   1   1  3.8e-144  1.8e-141  467.5   3.2     1   223     6   253     6   253 0.94 | transcript=PVX_081675.1 | gene=PVX_081675 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=Pv_Sal1_chr02:551285-552550(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114680.1-p1      -            246 10067at5820          -            223   3.1e-34  116.8   0.0   1   1   8.5e-37   3.9e-34  116.4   0.0     2   185     4   183     3   212 0.89 | transcript=PVX_114680.1 | gene=PVX_114680 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=Pv_Sal1_chr11:717266-718149(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113585.1-p1      -            235 10067at5820          -            223   3.2e-31  106.9   0.1   1   1   9.4e-34   4.4e-31  106.5   0.1     2   186     5   183     4   213 0.91 | transcript=PVX_113585.1 | gene=PVX_113585 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=Pv_Sal1_chr11:1683647-1684506(+) | protein_length=235 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114685.1-p1      -            241 10067at5820          -            223   3.3e-31  106.9   0.0   1   1   1.1e-33   4.8e-31  106.3   0.0     2   205     2   205     1   216 0.83 | transcript=PVX_114685.1 | gene=PVX_114685 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=Pv_Sal1_chr11:714007-715299(-) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118620.1-p1      -            269 10067at5820          -            223     4e-30  103.4   0.2   1   1   1.1e-32   5.1e-30  103.0   0.2     3   181     6   175     4   213 0.82 | transcript=PVX_118620.1 | gene=PVX_118620 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=Pv_Sal1_chr12:2901610-2902849(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088170.1-p1      -            260 10067at5820          -            223   1.1e-18   65.9   0.8   1   1   3.9e-21   1.8e-18   65.2   0.7     1   176     7   185     7   220 0.79 | transcript=PVX_088170.1 | gene=PVX_088170 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=Pv_Sal1_chr01:474921-476369(-) | protein_length=260 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095380.1-p1      -            253 10067at5820          -            223   1.6e-18   65.4   0.3   1   1   7.1e-21   3.3e-18   64.4   0.3     2   176     7   178     6   212 0.84 | transcript=PVX_095380.1 | gene=PVX_095380 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=Pv_Sal1_chr08:1070853-1071712(+) | protein_length=253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082355.1-p1      -            270 10067at5820          -            223   2.5e-06   25.5   0.1   1   1   1.3e-07   6.1e-05   21.0   0.1    27   184    39   186    35   199 0.77 | transcript=PVX_082355.1 | gene=PVX_082355 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=Pv_Sal1_chr12:996702-997514(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094790.1-p1      -            273 10067at5820          -            223   2.1e-05   22.5   0.9   1   1   3.5e-07   0.00016   19.6   0.9    29   177    62   201    52   221 0.75 | transcript=PVX_094790.1 | gene=PVX_094790 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=Pv_Sal1_chr08:523301-524122(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087115.1-p1      -            282 10067at5820          -            223     4e-05   21.6   0.2   1   2   5.1e-06    0.0023   15.8   0.1    26    93    26    95    19   133 0.86 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087115.1-p1      -            282 10067at5820          -            223     4e-05   21.6   0.2   2   2     0.021       9.8    4.0   0.0   133   185   177   231   148   266 0.70 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
