#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085875.1-p1      -            570 5555at5820           -            432  5.7e-233  771.5  54.1   1   2  7.1e-133    3e-130  433.0  23.7    11   221    57   268    53   274 0.98 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 5555at5820           -            432  5.7e-233  771.5  54.1   2   2  5.5e-106  2.3e-103  344.4  22.5   219   432   337   565   333   565 0.94 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089145.1-p1      -            747 5555at5820           -            432   7.3e-18   62.7   4.6   1   2   1.7e-20   7.3e-18   62.7   4.6    19   267   248   499   230   511 0.80 | transcript=PVX_089145.1 | gene=PVX_089145 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:342540-344783(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089145.1-p1      -            747 5555at5820           -            432   7.3e-18   62.7   4.6   2   2      0.21        88   -0.1   0.1   268   318   580   634   573   696 0.76 | transcript=PVX_089145.1 | gene=PVX_089145 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:342540-344783(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 5555at5820           -            432   8.2e-13   46.1   1.0   1   1   3.5e-15   1.5e-12   45.2   1.0   180   327   175   336   109   352 0.81 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114920.1-p1      -            367 5555at5820           -            432     2e-12   44.8   2.1   1   1   6.3e-15   2.7e-12   44.4   2.1   178   345    64   231    47   298 0.84 | transcript=PVX_114920.1 | gene=PVX_114920 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:521780-524906(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 5555at5820           -            432   5.6e-12   43.3   1.5   1   3      0.75   3.2e+02   -2.0   0.4   339   377   188   223   169   274 0.55 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 5555at5820           -            432   5.6e-12   43.3   1.5   2   3       1.1   4.8e+02   -2.6   2.9   255   321   329   394   292   422 0.50 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 5555at5820           -            432   5.6e-12   43.3   1.5   3   3   1.3e-14   5.6e-12   43.3   1.5   170   261   447   545   435   603 0.81 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 5555at5820           -            432   8.8e-11   39.4   0.5   1   1     3e-13   1.3e-10   38.9   0.5   177   263    64   151    57   257 0.68 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 5555at5820           -            432     1e-10   39.2   0.5   1   1   3.5e-13   1.5e-10   38.7   0.5   177   263    65   152    58   258 0.68 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 5555at5820           -            432   1.1e-10   39.1   0.4   1   1   3.8e-13   1.6e-10   38.5   0.4   177   263    64   151    57   257 0.69 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091320.1-p1      -            713 5555at5820           -            432   4.5e-08   30.5   6.4   1   1   2.1e-10   9.1e-08   29.5   6.4   178   336   467   635   461   663 0.76 | transcript=PVX_091320.1 | gene=PVX_091320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:428523-430664(+) | protein_length=713 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113555.1-p1      -            593 5555at5820           -            432   5.3e-05   20.3  11.1   1   3   1.6e-06   0.00069   16.7   3.2    22    66    94   140    82   207 0.83 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113555.1-p1      -            593 5555at5820           -            432   5.3e-05   20.3  11.1   2   3     0.037        16    2.3   0.2   158   208   340   391   291   414 0.68 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
