#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098635.1-p1      -           1409 799at5820            -           1183         0 1951.2  61.9   1   4         0         0 1243.2  26.4     1   726     5   812     5   814 0.94 | transcript=PVX_098635.1 | gene=PVX_098635 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr07:80055-84433(+) | protein_length=1409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098635.1-p1      -           1409 799at5820            -           1183         0 1951.2  61.9   2   4  5.2e-142  7.2e-139  462.4  20.6   725  1013   843  1148   834  1175 0.93 | transcript=PVX_098635.1 | gene=PVX_098635 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr07:80055-84433(+) | protein_length=1409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098635.1-p1      -           1409 799at5820            -           1183         0 1951.2  61.9   3   4    0.0064       8.9    1.8   0.0  1009  1029  1187  1211  1179  1219 0.85 | transcript=PVX_098635.1 | gene=PVX_098635 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr07:80055-84433(+) | protein_length=1409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098635.1-p1      -           1409 799at5820            -           1183         0 1951.2  61.9   4   4   2.4e-77   3.3e-74  248.3   0.1  1025  1183  1246  1408  1237  1408 0.95 | transcript=PVX_098635.1 | gene=PVX_098635 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr07:80055-84433(+) | protein_length=1409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 799at5820            -           1183   6.9e-19   65.1   8.1   1   4   3.4e-07   0.00048   15.9   0.1   579   649   305   377   278   399 0.70 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 799at5820            -           1183   6.9e-19   65.1   8.1   2   4   8.3e-09   1.1e-05   21.3   0.1   584   671   716   802   700   816 0.79 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 799at5820            -           1183   6.9e-19   65.1   8.1   3   4   2.8e-05     0.039    9.6   0.1   585   618  1114  1149  1084  1152 0.78 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 799at5820            -           1183   6.9e-19   65.1   8.1   4   4   1.5e-08   2.1e-05   20.4   0.0   589   627  1231  1272  1207  1300 0.78 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099528.1-p1      -            325 799at5820            -           1183   0.00057   15.6   0.1   1   1   5.6e-07   0.00078   15.2   0.1  1053  1180   140   271   131   273 0.75 | transcript=PVX_099528.1 | gene=PVX_099528 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:845663-848418(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081330.1-p1      -           1087 799at5820            -           1183     0.016   10.9   1.5   1   2    0.0079        11    1.5   0.0   324   348   412   436   408   439 0.92 | transcript=PVX_081330.1 | gene=PVX_081330 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr02:251199-254666(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081330.1-p1      -           1087 799at5820            -           1183     0.016   10.9   1.5   2   2   0.00011      0.15    7.6   0.5   587   619   780   811   768   815 0.85 | transcript=PVX_081330.1 | gene=PVX_081330 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr02:251199-254666(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
