#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118660.1-p1      -            507 5913at5820           -            427  2.1e-254  842.3  27.5   1   2  1.3e-256  1.2e-253  839.7  24.5     1   412     1   462     1   470 0.95 | transcript=PVX_118660.1 | gene=PVX_118660 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=Pv_Sal1_chr12:2953563-2955086(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118660.1-p1      -            507 5913at5820           -            427  2.1e-254  842.3  27.5   2   2    0.0089       8.2    3.4   0.0   416   427   496   507   482   507 0.86 | transcript=PVX_118660.1 | gene=PVX_118660 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=Pv_Sal1_chr12:2953563-2955086(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094635.1-p1      -            445 5913at5820           -            427   3.3e-58  195.8   0.0   1   1   6.4e-61   5.9e-58  195.0   0.0     2   390     1   426     1   432 0.82 | transcript=PVX_094635.1 | gene=PVX_094635 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=Pv_Sal1_chr08:407428-409625(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093560.1-p1      -            452 5913at5820           -            427   3.4e-51  172.7  11.6   1   1   5.7e-53   5.3e-50  168.8  11.6     1   399     1   451     1   452 0.81 | transcript=PVX_093560.1 | gene=PVX_093560 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=Pv_Sal1_chr01:635545-636903(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098630.1-p1      -            453 5913at5820           -            427   6.1e-50  168.6   0.0   1   1   1.1e-52     1e-49  167.8   0.0     2   386     1   432     1   440 0.80 | transcript=PVX_098630.1 | gene=PVX_098630 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin alpha chain, putative | transcript_product=tubulin alpha chain, putative | location=Pv_Sal1_chr07:76588-78678(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090155.1-p1      -            450 5913at5820           -            427   2.6e-47  159.9   0.0   1   1   4.6e-50   4.2e-47  159.2   0.0     2   386     1   432     1   440 0.79 | transcript=PVX_090155.1 | gene=PVX_090155 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin alpha chain, putative | transcript_product=tubulin alpha chain, putative | location=Pv_Sal1_chr05:1196388-1198148(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087025.1-p1      -            668 5913at5820           -            427   1.7e-11   41.9  15.2   1   3   1.8e-05     0.017   12.3   0.1     5    35     3    32     1    55 0.72 | transcript=PVX_087025.1 | gene=PVX_087025 | organism=Plasmodium_vivax_Sal-1 | gene_product=delta tubulin, putative | transcript_product=delta tubulin, putative | location=Pv_Sal1_chr07:1293229-1295235(+) | protein_length=668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087025.1-p1      -            668 5913at5820           -            427   1.7e-11   41.9  15.2   2   3   4.2e-11   3.9e-08   30.8   8.9    75   269   210   433   204   438 0.67 | transcript=PVX_087025.1 | gene=PVX_087025 | organism=Plasmodium_vivax_Sal-1 | gene_product=delta tubulin, putative | transcript_product=delta tubulin, putative | location=Pv_Sal1_chr07:1293229-1295235(+) | protein_length=668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087025.1-p1      -            668 5913at5820           -            427   1.7e-11   41.9  15.2   3   3      0.15   1.4e+02   -0.7   0.0   328   367   601   641   591   661 0.69 | transcript=PVX_087025.1 | gene=PVX_087025 | organism=Plasmodium_vivax_Sal-1 | gene_product=delta tubulin, putative | transcript_product=delta tubulin, putative | location=Pv_Sal1_chr07:1293229-1295235(+) | protein_length=668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5913at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5913at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:05 2026
# [ok]
