#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114625.1-p1      -            513 8004at5820           -            390  8.4e-208  688.1  26.7   1   1  1.4e-210  1.1e-207  687.8  26.7     1   390    91   513    91   513 0.95 | transcript=PVX_114625.1 | gene=PVX_114625 | organism=Plasmodium_vivax_Sal-1 | gene_product=microtubule-associated protein ytm1 homologue, putative | transcript_product=microtubule-associated protein ytm1 homologue, putative | location=Pv_Sal1_chr11:759675-761216(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 8004at5820           -            390   5.1e-10   37.0   2.1   1   3   2.9e-11   2.3e-08   31.6   0.2   177   308    30   160    11   173 0.86 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 8004at5820           -            390   5.1e-10   37.0   2.1   2   3      0.13   1.1e+02   -0.3   0.0   181   212   201   232   176   236 0.72 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 8004at5820           -            390   5.1e-10   37.0   2.1   3   3     0.011       8.5    3.3   0.1   186   217   257   286   250   302 0.81 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079930.1-p1      -            329 8004at5820           -            390   6.7e-09   33.3  11.2   1   3     5e-06     0.004   14.3   0.7   147   212    29    92     3   107 0.76 | transcript=PVX_079930.1 | gene=PVX_079930 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr10:224509-225498(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079930.1-p1      -            329 8004at5820           -            390   6.7e-09   33.3  11.2   2   3   7.4e-07   0.00058   17.1   0.3   270   354   104   182    94   194 0.79 | transcript=PVX_079930.1 | gene=PVX_079930 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr10:224509-225498(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079930.1-p1      -            329 8004at5820           -            390   6.7e-09   33.3  11.2   3   3   0.00037      0.29    8.2   0.4   101   211   197   305   190   325 0.66 | transcript=PVX_079930.1 | gene=PVX_079930 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr10:224509-225498(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 8004at5820           -            390   2.6e-07   28.1   1.6   1   2    0.0014       1.1    6.2   0.0   234   260    80   106    72   117 0.82 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 8004at5820           -            390   2.6e-07   28.1   1.6   2   2   1.4e-07   0.00011   19.4   0.9   267   361   216   301   203   306 0.79 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 8004at5820           -            390   7.6e-06   23.3   6.8   1   4      0.53   4.2e+02   -2.2   0.0   339   358    43    60    39    81 0.62 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 8004at5820           -            390   7.6e-06   23.3   6.8   2   4    0.0014       1.1    6.3   0.1   110   129    82   101    55   105 0.86 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 8004at5820           -            390   7.6e-06   23.3   6.8   3   4   1.8e-05     0.015   12.5   0.2   315   363   108   157   101   175 0.73 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
