#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099690.1-p1      -            133 14603at5820          -             96   1.2e-58  193.6   0.7   1   1   3.9e-61   1.4e-58  193.3   0.7     1    96    21   116    21   116 0.99 | transcript=PVX_099690.1 | gene=PVX_099690 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=Pv_Sal1_chr07:968851-970052(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117605.1-p1      -            104 14603at5820          -             96   4.3e-16   57.2   0.1   1   1   1.4e-18   5.1e-16   56.9   0.1    17    95    14    92     3    93 0.93 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 14603at5820          -             96   1.3e-11   42.7   1.2   1   3   1.6e-06   0.00059   18.2   0.0    18    82    44   112    28   119 0.81 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 14603at5820          -             96   1.3e-11   42.7   1.2   2   3      0.59   2.2e+02    0.4   0.1     5    62   140   194   137   200 0.71 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 14603at5820          -             96   1.3e-11   42.7   1.2   3   3   3.5e-07   0.00013   20.3   0.0    18    84   368   437   358   441 0.74 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099235.1-p1      -            179 14603at5820          -             96   1.4e-09   36.2   0.1   1   2      0.73   2.7e+02    0.1   0.0    39    65    50    76    41    83 0.74 | transcript=PVX_099235.1 | gene=PVX_099235 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=Pv_Sal1_chr07:605542-606759(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099235.1-p1      -            179 14603at5820          -             96   1.4e-09   36.2   0.1   2   2   1.1e-11   4.1e-09   34.8   0.0     5    83    68   147    64   163 0.77 | transcript=PVX_099235.1 | gene=PVX_099235 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=Pv_Sal1_chr07:605542-606759(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083155.1-p1      -            157 14603at5820          -             96   3.1e-06   25.5   0.1   1   1   2.6e-08   9.6e-06   24.0   0.1    13    87    61   137    58   144 0.86 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100520.1-p1      -            142 14603at5820          -             96   7.6e-06   24.3   0.1   1   1   2.9e-08   1.1e-05   23.8   0.1    19    80    21    83    13   101 0.79 | transcript=PVX_100520.1 | gene=PVX_100520 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitosis protein dim1, putative | transcript_product=mitosis protein dim1, putative | location=Pv_Sal1_chr14:2151851-2152279(+) | protein_length=142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 14603at5820          -             96   2.2e-05   22.8   0.0   1   1   1.1e-07   3.9e-05   22.0   0.0    26    88    50   113    32   116 0.91 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117357.1-p1      -            121 14603at5820          -             96   0.00022   19.6   1.1   1   1   7.9e-07   0.00029   19.2   1.1     3    94     7   103     5   105 0.82 | transcript=PVX_117357.1 | gene=PVX_117357 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=Pv_Sal1_chr12:1822980-1823345(+) | protein_length=121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
