#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   1  10   0.00063       1.2    5.6   0.0     1    27     1    27     1    61 0.79 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   2  10   6.1e-28   1.1e-24   84.9   1.5    39   105   117   187   105   193 0.89 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   3  10   4.4e-36   8.1e-33  111.8   8.0   104   192   314   414   286   423 0.83 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   4  10   9.4e-10   1.7e-06   24.8   0.0   194   234   511   553   490   562 0.83 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   5  10   2.1e-30   3.8e-27   93.1   0.0   228   296   606   687   601   688 0.88 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   6  10   4.3e-22     8e-19   65.6   0.0   297   347   771   821   765   832 0.91 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   7  10   1.7e-05     0.032   10.7   0.1   349   374   871   896   863   899 0.88 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   8  10  7.3e-142  1.4e-138  461.3  32.8   373   628   930  1193   928  1218 0.96 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   9  10     0.019        36    0.6   0.1   621   647  1222  1248  1212  1263 0.81 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6  10  10     0.015        27    1.0   0.4   637   660  1379  1402  1363  1406 0.75 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114495.1-p1      -           1053 1231at5820           -            664    0.0073   12.8   5.4   1   1   6.3e-06     0.012   12.2   5.4   171   290    13   132     4   175 0.76 | transcript=PVX_114495.1 | gene=PVX_114495 | organism=Plasmodium_vivax_Sal-1 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=Pv_Sal1_chr11:920422-923583(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
