#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124120.1-p1      -           1894 890at5820            -           1531         0 2253.7   0.0   1   4         0         0 1600.1   3.2     1   953     1  1019     1  1034 0.90 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 890at5820            -           1531         0 2253.7   0.0   2   4  2.5e-167  2.3e-164  547.1   0.0   963  1414  1117  1674  1109  1685 0.92 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 890at5820            -           1531         0 2253.7   0.0   3   4   2.4e-16   2.2e-13   46.7   0.0  1417  1456  1725  1764  1718  1767 0.94 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 890at5820            -           1531         0 2253.7   0.0   4   4   1.3e-17   1.2e-14   50.9   0.0  1453  1530  1790  1894  1774  1894 0.79 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083030.1-p1      -            817 890at5820            -           1531   1.4e-62  209.8  17.6   1   2   8.6e-21   7.9e-18   61.4   0.0    98   208   101   208    83   217 0.87 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083030.1-p1      -            817 890at5820            -           1531   1.4e-62  209.8  17.6   2   2   6.1e-44   5.6e-41  138.2  16.9   260   847   226   759   210   775 0.79 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 890at5820            -           1531   4.1e-61  204.9  12.2   1   3   1.5e-21   1.3e-18   64.0   0.0    98   208    73   176    14   179 0.82 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 890at5820            -           1531   4.1e-61  204.9  12.2   2   3   1.8e-14   1.6e-11   40.5   0.1   261   339   196   274   181   282 0.85 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 890at5820            -           1531   4.1e-61  204.9  12.2   3   3   4.7e-31   4.3e-28   95.5   6.0   370   813   373   775   358   779 0.79 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 890at5820            -           1531   5.3e-55  184.7  67.8   1   3   1.3e-29   1.2e-26   90.6  13.4    13   338    21   416     5   448 0.77 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 890at5820            -           1531   5.3e-55  184.7  67.8   2   3   3.8e-35   3.5e-32  109.0  35.2   512   944   744  1266   737  1334 0.79 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 890at5820            -           1531   5.3e-55  184.7  67.8   3   3      0.45   4.2e+02   -3.9   3.4   613   653  1595  1636  1574  1689 0.71 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097755.1-p1      -            800 890at5820            -           1531   1.1e-54  183.7  72.9   1   2   6.6e-17   6.1e-14   48.6   6.9    74   208    71   194     4   203 0.77 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097755.1-p1      -            800 890at5820            -           1531   1.1e-54  183.7  72.9   2   2   1.7e-42   1.6e-39  133.4  58.4   255   874   204   765   195   799 0.78 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 890at5820            -           1531   3.2e-21   72.7  25.3   1   3     4e-17   3.7e-14   49.3   9.4    87   363    72   407    41   416 0.74 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 890at5820            -           1531   3.2e-21   72.7  25.3   2   3   0.00053      0.49    5.8   0.1   373   445   520   592   504   598 0.77 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 890at5820            -           1531   3.2e-21   72.7  25.3   3   3   2.7e-08   2.5e-05   20.0   5.9   425   763   606   940   587   962 0.68 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/890at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
