#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085845.1-p1      -            799 5178at5820           -            464  9.7e-184  609.6  87.7   1   5   3.7e-22   2.1e-19   67.8   6.0     2    51    11    60    10    73 0.88 | transcript=PVX_085845.1 | gene=PVX_085845 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1565957-1568737(+) | protein_length=799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085845.1-p1      -            799 5178at5820           -            464  9.7e-184  609.6  87.7   2   5  2.4e-101   1.3e-98  328.9  33.6    42   251    71   300    62   315 0.89 | transcript=PVX_085845.1 | gene=PVX_085845 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1565957-1568737(+) | protein_length=799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085845.1-p1      -            799 5178at5820           -            464  9.7e-184  609.6  87.7   3   5     0.046        25    1.6   2.3   255   281   454   480   439   508 0.81 | transcript=PVX_085845.1 | gene=PVX_085845 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1565957-1568737(+) | protein_length=799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085845.1-p1      -            799 5178at5820           -            464  9.7e-184  609.6  87.7   4   5   4.8e-12   2.7e-09   34.4   2.3   271   321   509   560   483   567 0.80 | transcript=PVX_085845.1 | gene=PVX_085845 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1565957-1568737(+) | protein_length=799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085845.1-p1      -            799 5178at5820           -            464  9.7e-184  609.6  87.7   5   5   1.7e-59   9.5e-57  190.9  15.1   306   464   618   799   602   799 0.86 | transcript=PVX_085845.1 | gene=PVX_085845 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1565957-1568737(+) | protein_length=799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 5178at5820           -            464   5.1e-28   96.2  69.7   1   6   3.5e-07   0.00019   18.4   4.0    90   151    14    74     9    78 0.90 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 5178at5820           -            464   5.1e-28   96.2  69.7   2   6   5.5e-07    0.0003   17.8   7.1   107   152    77   121    74   125 0.91 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 5178at5820           -            464   5.1e-28   96.2  69.7   3   6   4.5e-07   0.00025   18.1   5.7   109   151   125   171   121   180 0.82 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 5178at5820           -            464   5.1e-28   96.2  69.7   4   6   6.6e-05     0.036   10.9   0.5   133   152   176   195   172   199 0.89 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 5178at5820           -            464   5.1e-28   96.2  69.7   5   6   7.7e-08   4.3e-05   20.6  11.4    87   150   200   262   196   267 0.90 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 5178at5820           -            464   5.1e-28   96.2  69.7   6   6   2.5e-13   1.4e-10   38.7   5.2    87   151   269   333   265   347 0.94 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
