#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085030.1-p1      -            723 5905at5820           -            437  1.5e-254  842.8  20.1   1   3   2.3e-15   2.1e-12   44.8   0.3    18    74    62   119    57   130 0.82 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085030.1-p1      -            723 5905at5820           -            437  1.5e-254  842.8  20.1   2   3  5.2e-157  4.8e-154  511.6   6.5    60   302   243   489   232   496 0.93 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085030.1-p1      -            723 5905at5820           -            437  1.5e-254  842.8  20.1   3   3   2.6e-91   2.4e-88  295.0   0.9   290   437   571   718   564   718 0.96 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088125.1-p1      -            545 5905at5820           -            437    2e-116  387.6   5.0   1   2   2.3e-82   2.1e-79  265.6   1.1    54   279   189   416   177   418 0.94 | transcript=PVX_088125.1 | gene=PVX_088125 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr01:446507-448144(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088125.1-p1      -            545 5905at5820           -            437    2e-116  387.6   5.0   2   2   4.4e-40   4.1e-37  126.2   0.2   302   429   414   541   413   545 0.97 | transcript=PVX_088125.1 | gene=PVX_088125 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr01:446507-448144(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117180.1-p1      -            373 5905at5820           -            437   3.9e-41  139.5   5.0   1   2   7.1e-37   6.5e-34  115.7   2.8    74   270    47   239    18   252 0.88 | transcript=PVX_117180.1 | gene=PVX_117180 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr12:1645882-1648646(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117180.1-p1      -            373 5905at5820           -            437   3.9e-41  139.5   5.0   2   2   3.6e-09   3.3e-06   24.4   0.0   307   410   256   365   244   373 0.77 | transcript=PVX_117180.1 | gene=PVX_117180 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr12:1645882-1648646(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119690.1-p1      -            438 5905at5820           -            437   4.5e-29   99.7   0.3   1   2   6.8e-28   6.2e-25   86.1   0.2    69   266    98   301    72   316 0.83 | transcript=PVX_119690.1 | gene=PVX_119690 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr08:1256510-1259674(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119690.1-p1      -            438 5905at5820           -            437   4.5e-29   99.7   0.3   2   2   2.1e-05     0.019   12.0   0.0   344   416   351   429   309   437 0.73 | transcript=PVX_119690.1 | gene=PVX_119690 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr08:1256510-1259674(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086040.1-p1      -            450 5905at5820           -            437   5.7e-25   86.2  11.0   1   2   9.3e-27   8.6e-24   82.3   2.3    55   265   118   322    91   328 0.85 | transcript=PVX_086040.1 | gene=PVX_086040 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=Pv_Sal1_chr13:1780093-1781445(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086040.1-p1      -            450 5905at5820           -            437   5.7e-25   86.2  11.0   2   2   0.00016      0.14    9.1   1.7   301   409   329   440   322   450 0.72 | transcript=PVX_086040.1 | gene=PVX_086040 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=Pv_Sal1_chr13:1780093-1781445(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
