#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091465.1-p1      -            690 3676at5820           -            548         0 1042.4  33.0   1   3  8.3e-110  2.2e-107  358.2   5.2     9   196    22   212     8   232 0.91 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 3676at5820           -            548         0 1042.4  33.0   2   3  9.1e-111  2.4e-108  361.4   5.9   187   386   251   477   245   483 0.88 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 3676at5820           -            548         0 1042.4  33.0   3   3  1.2e-102  3.3e-100  334.5   6.0   390   548   527   690   511   690 0.96 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101280.1-p1      -            611 3676at5820           -            548   5.6e-99  330.4   0.3   1   1  3.1e-101   8.1e-99  329.9   0.3     3   537     9   564     7   570 0.81 | transcript=PVX_101280.1 | gene=PVX_101280 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=Pv_Sal1_chr14:2767368-2770587(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 3676at5820           -            548   3.7e-25   86.8  19.1   1   4      0.54   1.4e+02   -1.0   0.0    11    30    16    35     4    42 0.85 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 3676at5820           -            548   3.7e-25   86.8  19.1   2   4   1.3e-10   3.6e-08   30.7   1.6   291   370   379   453   367   460 0.82 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 3676at5820           -            548   3.7e-25   86.8  19.1   3   4   1.3e-11   3.5e-09   34.1   0.7   419   492   621   690   611   710 0.80 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 3676at5820           -            548   3.7e-25   86.8  19.1   4   4   1.7e-10   4.5e-08   30.4   2.8   486   527   712   753   701   760 0.88 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091410.1-p1      -            495 3676at5820           -            548     7e-11   39.7   8.4   1   3     8e-07   0.00021   18.3   0.1   285   381   274   366   177   380 0.83 | transcript=PVX_091410.1 | gene=PVX_091410 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=Pv_Sal1_chr09:496561-498048(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091410.1-p1      -            495 3676at5820           -            548     7e-11   39.7   8.4   2   3       1.5   3.9e+02   -2.4   0.0   427   448   395   416   388   420 0.86 | transcript=PVX_091410.1 | gene=PVX_091410 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=Pv_Sal1_chr09:496561-498048(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091410.1-p1      -            495 3676at5820           -            548     7e-11   39.7   8.4   3   3   1.3e-08   3.5e-06   24.1   2.5   474   514   425   471   419   483 0.81 | transcript=PVX_091410.1 | gene=PVX_091410 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=Pv_Sal1_chr09:496561-498048(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 3676at5820           -            548   1.1e-10   39.0   7.1   1   3   7.9e-08   2.1e-05   21.6   0.4   294   406    39   148    27   157 0.73 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 3676at5820           -            548   1.1e-10   39.0   7.1   2   3     0.038        10    2.8   0.0   464   485   167   188   162   207 0.86 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 3676at5820           -            548   1.1e-10   39.0   7.1   3   3   1.9e-06   0.00051   17.0   0.7   488   517   220   248   211   264 0.78 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_003825.1-p1      -           1007 3676at5820           -            548   1.2e-09   35.6   3.4   1   1   7.7e-12     2e-09   34.8   3.0   463   518   609   666   512   681 0.91 | transcript=PVX_003825.1 | gene=PVX_003825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=Pv_Sal1_chr04:578341-582085(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091415.1-p1      -            487 3676at5820           -            548   4.9e-09   33.6  10.3   1   2     9e-06    0.0024   14.8   2.6   291   386   278   365    97   374 0.87 | transcript=PVX_091415.1 | gene=PVX_091415 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:500343-501806(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091415.1-p1      -            487 3676at5820           -            548   4.9e-09   33.6  10.3   2   2   3.3e-08   8.8e-06   22.8   0.7   471   517   416   468   407   473 0.78 | transcript=PVX_091415.1 | gene=PVX_091415 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:500343-501806(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003850.1-p1      -           1014 3676at5820           -            548   2.7e-08   31.1   0.6   1   1   1.8e-10   4.9e-08   30.3   0.6   464   513   692   742   687   762 0.88 | transcript=PVX_003850.1 | gene=PVX_003850 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=Pv_Sal1_chr04:551673-555171(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003800.1-p1      -           1014 3676at5820           -            548   5.3e-08   30.1   3.1   1   2      0.56   1.5e+02   -1.0   0.1   275   308   554   591   494   599 0.74 | transcript=PVX_003800.1 | gene=PVX_003800 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:601697-605301(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003800.1-p1      -           1014 3676at5820           -            548   5.3e-08   30.1   3.1   2   2     2e-10   5.3e-08   30.1   3.1   464   513   738   788   732   810 0.80 | transcript=PVX_003800.1 | gene=PVX_003800 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:601697-605301(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
