#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084745.1-p1      -            499 6051at5820           -            397    2e-241  799.1  30.1   1   2  6.4e-117  3.5e-114  380.1   0.5     1   197    24   236    24   249 0.95 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 6051at5820           -            397    2e-241  799.1  30.1   2   2  7.8e-130  4.3e-127  422.6  23.4   177   396   264   498   258   499 0.94 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 6051at5820           -            397   4.3e-14   50.6  16.8   1   4   1.4e-07     8e-05   20.0   0.0    68   171   310   412   304   429 0.86 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 6051at5820           -            397   4.3e-14   50.6  16.8   2   4     0.027        15    2.7   0.1   209   287   494   568   462   572 0.73 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 6051at5820           -            397   4.3e-14   50.6  16.8   3   4   1.9e-11     1e-08   32.8   3.8    50   171   565   697   550   704 0.78 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 6051at5820           -            397   4.3e-14   50.6  16.8   4   4     0.019        10    3.2   1.7   231   281   704   758   696   782 0.75 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 6051at5820           -            397   6.4e-07   27.0   1.6   1   2    0.0086       4.8    4.3   0.1   218   255   245   285   234   309 0.79 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 6051at5820           -            397   6.4e-07   27.0   1.6   2   2   5.4e-08     3e-05   21.4   0.1    59   126   314   378   300   388 0.77 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 6051at5820           -            397   8.5e-07   26.5   3.4   1   3   4.4e-08   2.4e-05   21.7   0.1    67   161    65   155    59   165 0.84 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 6051at5820           -            397   8.5e-07   26.5   3.4   2   3     0.014       7.7    3.6   0.1   216   243   227   254   187   260 0.87 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 6051at5820           -            397   8.5e-07   26.5   3.4   3   3      0.14        79    0.3   0.1   103   136   289   324   285   335 0.83 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
