#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   1   9   2.7e-35   1.6e-32  110.1  10.2     1    75   116   193   116   204 0.92 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   2   9   8.4e-07   0.00051   15.7   0.8    75   116   235   289   215   293 0.73 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   3   9   2.9e-44   1.8e-41  139.9   8.7   115   210   407   507   392   509 0.93 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   4   9   7.9e-55   4.9e-52  174.9  17.5   210   351   601   768   595   778 0.87 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   5   9   3.1e-62   1.9e-59  199.4  13.5   346   524   852  1084   835  1096 0.78 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   6   9   3.1e-50   1.9e-47  159.6   5.8   538   643  1180  1290  1175  1296 0.93 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   7   9   3.8e-36   2.3e-33  112.9   4.2   642   718  1351  1427  1339  1434 0.94 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   8   9  8.9e-283  5.5e-280  930.5 104.4   717  1229  1559  2102  1555  2118 0.95 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123655.1-p1      -           2755 377at5820            -           1679         0 2627.0 263.4   9   9  9.4e-251  5.8e-248  824.4  35.7  1222  1679  2239  2753  2236  2753 0.91 | transcript=PVX_123655.1 | gene=PVX_123655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1626913-1635804(+) | protein_length=2755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092485.1-p1      -            456 377at5820            -           1679   8.4e-22   74.6  19.7   1   3   1.6e-07   9.9e-05   18.1   1.5  1267  1318   136   191    74   218 0.66 | transcript=PVX_092485.1 | gene=PVX_092485 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1423217-1424587(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092485.1-p1      -            456 377at5820            -           1679   8.4e-22   74.6  19.7   2   3   2.9e-11   1.8e-08   30.5   0.3  1286  1355   216   284   199   286 0.84 | transcript=PVX_092485.1 | gene=PVX_092485 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1423217-1424587(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
