#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083310.1-p1      -           1389 1098at5820           -            989         0 1939.5 108.8   1   5     2e-47   7.5e-45  151.2   3.0     1    84     1    85     1    93 0.97 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 1098at5820           -            989         0 1939.5 108.8   2   5  1.6e-226    6e-224  744.0  38.0    81   455   172   571   163   575 0.96 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 1098at5820           -            989         0 1939.5 108.8   3   5  8.1e-100     3e-97  324.6  12.3   456   616   669   830   665   840 0.96 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 1098at5820           -            989         0 1939.5 108.8   4   5   1.1e-50   3.9e-48  162.1   6.6   612   712   929  1037   916  1043 0.90 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 1098at5820           -            989         0 1939.5 108.8   5   5  1.8e-177  6.6e-175  581.7  17.2   712   989  1095  1389  1092  1389 0.96 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 1098at5820           -            989   2.8e-88  294.9   0.2   1   3   5.9e-60   2.2e-57  192.7   0.0     8   377    15   376     6   386 0.87 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 1098at5820           -            989   2.8e-88  294.9   0.2   2   3   3.7e-12   1.4e-09   34.5   0.1   505   597   468   560   446   579 0.89 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 1098at5820           -            989   2.8e-88  294.9   0.2   3   3   3.9e-21   1.4e-18   64.2   0.0   776   944   636   808   629   829 0.87 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 1098at5820           -            989   3.5e-53  178.8  29.6   1   4   7.7e-05     0.028   10.2   0.0    10    36   181   207   172   219 0.83 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 1098at5820           -            989   3.5e-53  178.8  29.6   2   4   3.7e-26   1.4e-23   80.8  25.3    47   367   273   605   257   628 0.81 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 1098at5820           -            989   3.5e-53  178.8  29.6   3   4   5.9e-07   0.00022   17.3   0.1   509   600   804   895   798   924 0.82 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
