#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089972.1-p1      -            909 8720at5820           -            583    2e-224  744.9 206.2   1   5  2.5e-209  3.5e-206  684.6  70.1     2   369     4   395     3   409 0.92 | transcript=PVX_089972.1 | gene=PVX_089972 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr05:993291-996667(-) | protein_length=909 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089972.1-p1      -            909 8720at5820           -            583    2e-224  744.9 206.2   2   5   9.2e-22   1.3e-18   65.3  57.6   342   551   421   622   407   625 0.62 | transcript=PVX_089972.1 | gene=PVX_089972 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr05:993291-996667(-) | protein_length=909 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089972.1-p1      -            909 8720at5820           -            583    2e-224  744.9 206.2   3   5   0.00023      0.32    7.8  39.5   425   536   559   666   554   670 0.48 | transcript=PVX_089972.1 | gene=PVX_089972 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr05:993291-996667(-) | protein_length=909 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089972.1-p1      -            909 8720at5820           -            583    2e-224  744.9 206.2   4   5   0.00026      0.36    7.7  55.1   415   574   621   781   617   808 0.64 | transcript=PVX_089972.1 | gene=PVX_089972 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr05:993291-996667(-) | protein_length=909 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089972.1-p1      -            909 8720at5820           -            583    2e-224  744.9 206.2   5   5      0.73     1e+03   -3.7   4.2   414   479   820   888   807   909 0.43 | transcript=PVX_089972.1 | gene=PVX_089972 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr05:993291-996667(-) | protein_length=909 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 8720at5820           -            583   0.00067   16.7  44.7   1   2   4.9e-07   0.00067   16.7  44.7   427   580    73   217    34   225 0.45 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 8720at5820           -            583   0.00067   16.7  44.7   2   2      0.15   2.1e+02   -1.5   0.4   240   260   271   292   238   309 0.48 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089940.1-p1      -            311 8720at5820           -            583      0.57    7.0  18.9   1   1   0.00052      0.72    6.6  18.9   484   551    75   142    40   224 0.47 | transcript=PVX_089940.1 | gene=PVX_089940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:957535-958596(+) | protein_length=311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001735.1-p1      -            588 8720at5820           -            583       1.3    5.8   8.6   1   1     0.002       2.8    4.7   8.6   440   509   332   398   321   493 0.66 | transcript=PVX_001735.1 | gene=PVX_001735 | organism=Plasmodium_vivax_Sal-1 | gene_product=golgi re-assembly stacking protein, putative | transcript_product=golgi re-assembly stacking protein, putative | location=Pv_Sal1_chr06:96867-98804(-) | protein_length=588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8720at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8720at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8720at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:17 2026
# [ok]
