#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089405.1-p1      -            662 3997at5820           -            539    1e-276  917.2  14.5   1   3   4.6e-34   5.1e-31  106.3   0.0     2    71    18    87    17    92 0.96 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 3997at5820           -            539    1e-276  917.2  14.5   2   3   4.2e-87   4.6e-84  281.3   1.4    63   251   109   329    96   333 0.89 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 3997at5820           -            539    1e-276  917.2  14.5   3   3  4.8e-164  5.4e-161  535.2   4.0   246   539   351   662   335   662 0.94 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 3997at5820           -            539   1.5e-34  117.9  25.8   1   2   1.1e-09   1.2e-06   25.8   0.0    26    69   462   505   450   518 0.82 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 3997at5820           -            539   1.5e-34  117.9  25.8   2   2     2e-29   2.2e-26   91.0  23.4    95   517   594  1070   558  1083 0.72 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 3997at5820           -            539   1.4e-25   88.4   5.3   1   2    0.0027         3    4.7   0.0    32    64   247   279   227   299 0.82 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 3997at5820           -            539   1.4e-25   88.4   5.3   2   2   1.5e-26   1.6e-23   81.5   3.2    93   461   339   755   298   821 0.66 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099575.1-p1      -            783 3997at5820           -            539     3e-19   67.4  17.6   1   3   7.4e-10   8.2e-07   26.4   0.3     8    64   177   234   170   244 0.73 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099575.1-p1      -            783 3997at5820           -            539     3e-19   67.4  17.6   2   3   3.4e-13   3.8e-10   37.4   2.1    96   207   297   413   246   426 0.84 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099575.1-p1      -            783 3997at5820           -            539     3e-19   67.4  17.6   3   3   9.9e-06     0.011   12.8   2.2   250   450   484   696   459   716 0.69 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 3997at5820           -            539   3.4e-19   67.3  10.3   1   2   3.3e-16   3.7e-13   47.3   0.1    29   210    63   262    54   283 0.73 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
