#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   1  11  7.5e-301    1e-297  989.6 131.6     2   950    16  1285    15  1325 0.82 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   2  11  4.1e-220  5.7e-217  721.6  44.4   946  1498  1358  1979  1349  1991 0.89 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   3  11  1.2e-113  1.6e-110  368.2  35.8  1456  1808  2153  2564  2139  2578 0.86 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   4  11   2.7e-06    0.0038   11.9   2.1  1799  1849  2699  2750  2684  2777 0.75 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   5  11  2.8e-268  3.9e-265  881.4  57.7  1839  2336  2809  3329  2804  3337 0.96 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   6  11  1.9e-112  2.6e-109  364.3  13.3  2342  2542  3378  3578  3374  3583 0.98 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   7  11         0         0 1153.8  64.9  2521  3128  3638  4270  3633  4313 0.94 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   8  11  2.7e-134  3.8e-131  436.7  24.0  3128  3361  4343  4579  4329  4585 0.97 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   9  11  2.5e-252  3.5e-249  828.5  54.5  3369  3849  4685  5213  4671  5224 0.91 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6  10  11     4e-17   5.6e-14   47.8   1.2  3847  3892  5239  5284  5235  5291 0.92 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6  11  11   1.2e-85   1.6e-82  275.3  27.2  3879  4063  5339  5534  5324  5534 0.90 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 39at5820             -           4063  1.1e-169  564.6 230.6   1   7   3.5e-45   4.8e-42  141.0  40.2  1535  2245   244   974   240   983 0.72 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 39at5820             -           4063  1.1e-169  564.6 230.6   2   7     2e-05     0.028    9.0   6.4  2152  2198   989  1035   980  1040 0.92 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 39at5820             -           4063  1.1e-169  564.6 230.6   3   7     9e-29   1.2e-25   86.5  14.3  2356  2481  1081  1206  1053  1214 0.92 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 39at5820             -           4063  1.1e-169  564.6 230.6   4   7     3e-23   4.2e-20   68.2  23.0  2568  2817  1455  1693  1422  1710 0.80 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 39at5820             -           4063  1.1e-169  564.6 230.6   5   7   1.1e-69   1.5e-66  222.3  35.5  2904  3392  1852  2371  1847  2382 0.74 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
