#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   1  12   4.4e-34   2.4e-30  103.3   1.4     1    85     1    92     1    94 0.89 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   2  12  1.1e-116  5.9e-113  377.1  13.1    86   323   181   435   177   438 0.93 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   3  12  3.5e-102     2e-98  329.0  19.1   323   547   478   746   475   749 0.88 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   4  12  3.1e-153  1.7e-149  498.2  31.2   549   827   813  1097   810  1103 0.97 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   5  12   1.8e-29   9.7e-26   88.1   0.2   819   892  1115  1191  1107  1201 0.92 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   6  12   1.8e-51     1e-47  160.9   0.5   882   982  1292  1393  1284  1397 0.92 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   7  12   0.00071       3.9    3.2   0.4   980   996  1435  1451  1431  1453 0.91 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   8  12     4e-69   2.2e-65  219.4   6.5   995  1116  1481  1606  1470  1621 0.94 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2   9  12   1.3e-37   7.1e-34  115.0   3.1  1115  1179  1638  1702  1636  1708 0.96 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2  10  12     2e-91   1.1e-87  293.4  16.9  1176  1338  1742  1907  1735  1910 0.96 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116965.1-p1      -           2226 529at5820            -           1531         0 2431.1 188.2  11  12   1.2e-15   6.4e-12   42.3   0.1  1340  1383  1965  2010  1961  2016 0.92 | transcript=PVX_116965.1 | gene=PVX_116965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1423417-1430259(-) | protein_length=2226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
