#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080030.1-p1      -            365 8151at5820           -            356    5e-244  807.1   8.5   1   1  1.2e-246  5.5e-244  806.9   8.5     1   356     1   365     1   365 0.99 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 8151at5820           -            356  6.4e-244  806.7   8.5   1   1  1.6e-246  7.2e-244  806.5   8.5     1   356     2   366     2   366 0.99 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 8151at5820           -            356  1.9e-243  805.2   8.0   1   1  4.6e-246  2.1e-243  805.0   8.0     1   355     1   364     1   365 0.99 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_114920.1-p1      -            367 8151at5820           -            356  1.2e-130  434.0   6.8   1   1    3e-133  1.4e-130  433.9   6.8     1   355     1   365     1   366 0.96 | transcript=PVX_114920.1 | gene=PVX_114920 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:521780-524906(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 8151at5820           -            356   2.2e-08   31.9   0.0   1   1     1e-10   4.7e-08   30.8   0.0    65   154   173   264   167   317 0.80 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 8151at5820           -            356   4.8e-08   30.8   0.1   1   2   3.2e-08   1.5e-05   22.6   0.0    64   151   309   399   291   412 0.85 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 8151at5820           -            356   4.8e-08   30.8   0.1   2   2    0.0042       1.9    5.7   0.0    63   124   584   648   567   701 0.84 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 8151at5820           -            356     7e-07   26.9   0.7   1   2       0.7   3.2e+02   -1.6   0.2   180   212   292   324   282   356 0.80 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 8151at5820           -            356     7e-07   26.9   0.7   2   2   4.2e-09   1.9e-06   25.5   0.0    64   128   454   522   445   559 0.77 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 8151at5820           -            356   2.4e-06   25.1   0.1   1   2   6.5e-08     3e-05   21.6   0.0    64   153   106   199   102   211 0.81 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 8151at5820           -            356   2.4e-06   25.1   0.1   2   2      0.12        57    0.9   0.0   234   254   326   346   318   397 0.88 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 8151at5820           -            356   5.3e-06   24.0   0.1   1   2   3.7e-08   1.7e-05   22.4   0.0    64   105   224   265   208   273 0.90 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 8151at5820           -            356   5.3e-06   24.0   0.1   2   2       1.3   6.1e+02   -2.5   0.0   107   148   336   378   324   392 0.66 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089145.1-p1      -            747 8151at5820           -            356   8.9e-05   20.0   0.0   1   1   3.4e-07   0.00016   19.2   0.0    65   150   408   494   404   507 0.93 | transcript=PVX_089145.1 | gene=PVX_089145 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:342540-344783(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 8151at5820           -            356   0.00097   16.6   0.6   1   2      0.47   2.2e+02   -1.0   0.0   167   233   239   307   217   315 0.68 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 8151at5820           -            356   0.00097   16.6   0.6   2   2   6.8e-06    0.0031   14.9   0.1    60   120   318   376   310   389 0.77 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091320.1-p1      -            713 8151at5820           -            356      0.57    7.5  14.5   1   2   0.00074      0.34    8.2   0.2    59   168   461   574   429   578 0.77 | transcript=PVX_091320.1 | gene=PVX_091320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:428523-430664(+) | protein_length=713 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091320.1-p1      -            713 8151at5820           -            356      0.57    7.5  14.5   2   2   0.00011     0.049   11.0   0.6   234   285   576   634   562   660 0.80 | transcript=PVX_091320.1 | gene=PVX_091320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:428523-430664(+) | protein_length=713 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:11 2026
# [ok]
