#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089655.1-p1      -            889 3141at5820           -            730         0 1323.0  73.1   1   4   5.3e-28   5.8e-25   86.0   0.4     1    58     1    60     1    65 0.95 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 3141at5820           -            730         0 1323.0  73.1   2   4  2.9e-225  3.2e-222  738.1  34.0    57   446    91   496    84   507 0.95 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 3141at5820           -            730         0 1323.0  73.1   3   4   1.3e-60   1.5e-57  193.8   3.3   440   564   535   677   532   679 0.92 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089655.1-p1      -            889 3141at5820           -            730         0 1323.0  73.1   4   4   2.8e-99     3e-96  321.7  13.6   555   730   705   889   696   889 0.96 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 3141at5820           -            730   1.3e-10   38.5  20.0   1   5   3.1e-07   0.00035   17.3   0.1   292   325   329   362   314   373 0.83 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 3141at5820           -            730   1.3e-10   38.5  20.0   2   5    0.0046       5.1    3.5   0.0   393   443   403   453   394   465 0.87 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 3141at5820           -            730   1.3e-10   38.5  20.0   3   5         5   5.5e+03   -6.5   3.2   367   416   635   666   618   712 0.42 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 3141at5820           -            730   1.3e-10   38.5  20.0   4   5   2.8e-07   0.00031   17.5   0.7   486   550  1158  1225  1109  1251 0.77 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 3141at5820           -            730   1.3e-10   38.5  20.0   5   5   6.4e-06    0.0071   13.0   0.3   675   727  1259  1312  1253  1314 0.80 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 3141at5820           -            730   3.4e-10   37.2   0.9   1   3   1.5e-06    0.0017   15.0   0.0   295   322   110   137    89   174 0.74 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 3141at5820           -            730   3.4e-10   37.2   0.9   2   3   0.00052      0.57    6.7   0.1   499   537   308   346   300   376 0.85 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
