#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080525.1-p1      -           1047 3175at5820           -            591  8.2e-233  772.7  11.1   1   6   1.8e-08   1.7e-05   22.1   0.0    24    60   159   198   154   206 0.86 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 3175at5820           -            591  8.2e-233  772.7  11.1   2   6   3.6e-48   3.3e-45  153.2   0.1    59   166   218   336   212   342 0.90 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 3175at5820           -            591  8.2e-233  772.7  11.1   3   6   2.1e-19     2e-16   58.1   0.0   168   223   398   454   392   460 0.91 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 3175at5820           -            591  8.2e-233  772.7  11.1   4   6   5.2e-72   4.8e-69  231.9   0.2   225   358   544   683   541   693 0.94 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 3175at5820           -            591  8.2e-233  772.7  11.1   5   6     1e-15   9.5e-13   46.0   0.2   366   429   716   802   711   812 0.81 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 3175at5820           -            591  8.2e-233  772.7  11.1   6   6     2e-80   1.8e-77  259.7   0.1   434   591   871  1045   851  1045 0.89 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081610.1-p1      -            631 3175at5820           -            591   4.5e-53  179.1  20.1   1   3   4.5e-33   4.1e-30  103.3   9.0    60   321   176   445   114   461 0.76 | transcript=PVX_081610.1 | gene=PVX_081610 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr02:487513-489408(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081610.1-p1      -            631 3175at5820           -            591   4.5e-53  179.1  20.1   2   3   2.3e-18   2.1e-15   54.7   1.2   438   535   487   586   464   586 0.84 | transcript=PVX_081610.1 | gene=PVX_081610 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr02:487513-489408(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081610.1-p1      -            631 3175at5820           -            591   4.5e-53  179.1  20.1   3   3   4.2e-11   3.9e-08   30.8   0.2   544   590   574   620   569   621 0.86 | transcript=PVX_081610.1 | gene=PVX_081610 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr02:487513-489408(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 3175at5820           -            591   1.6e-10   38.6   0.8   1   4      0.14   1.3e+02   -0.7   0.0   170   221   367   418   360   426 0.81 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 3175at5820           -            591   1.6e-10   38.6   0.8   2   4   5.5e-09   5.1e-06   23.8   0.7   261   355   500   600   475   613 0.80 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 3175at5820           -            591   1.6e-10   38.6   0.8   3   4     0.063        58    0.4   0.0   460   509   641   689   627   708 0.70 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 3175at5820           -            591   1.6e-10   38.6   0.8   4   4   0.00016      0.15    9.0   0.0   555   590   713   748   692   749 0.87 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 3175at5820           -            591   5.7e-10   36.8   2.7   1   3   0.00018      0.16    8.9   1.3   249   335   330   410   318   447 0.58 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 3175at5820           -            591   5.7e-10   36.8   2.7   2   3   0.00027      0.25    8.3   0.0   467   526   472   531   452   539 0.78 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 3175at5820           -            591   5.7e-10   36.8   2.7   3   3   4.8e-07   0.00044   17.4   0.0   557   590   540   573   526   574 0.85 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 3175at5820           -            591   2.4e-09   34.7   5.6   1   2   5.8e-09   5.4e-06   23.7   5.5   196   314   309   425   281   501 0.80 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 3175at5820           -            591   2.4e-09   34.7   5.6   2   2   0.00019      0.18    8.8   0.0   547   589   625   668   612   669 0.81 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083400.1-p1      -            585 3175at5820           -            591     1e-07   29.3   0.1   1   2   2.9e-07   0.00026   18.1   0.1   192   313   253   371   231   381 0.82 | transcript=PVX_083400.1 | gene=PVX_083400 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr12:150172-152234(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083400.1-p1      -            585 3175at5820           -            591     1e-07   29.3   0.1   2   2   0.00017      0.16    8.9   0.0   555   590   541   576   533   577 0.92 | transcript=PVX_083400.1 | gene=PVX_083400 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr12:150172-152234(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3175at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:58 2026
# [ok]
