#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092440.1-p1      -            323 8459at5820           -            280  3.6e-201  664.4   4.3   1   1  3.5e-203  4.2e-201  664.2   4.3     1   280    40   319    40   319 1.00 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 8459at5820           -            280   3.3e-13   47.8   3.1   1   1   4.6e-15   5.4e-13   47.1   3.1     6   183   112   282   107   321 0.76 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 8459at5820           -            280   9.5e-12   43.0   1.1   1   1   8.1e-14   9.5e-12   43.0   1.1    53   195   110   239    90   260 0.77 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 8459at5820           -            280   3.1e-09   34.7   0.0   1   1   4.7e-11   5.6e-09   33.9   0.0    67   124   256   313   227   351 0.83 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 8459at5820           -            280   1.2e-08   32.9   0.8   1   1     2e-10   2.3e-08   31.8   0.5    60   117   164   221   152   286 0.77 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 8459at5820           -            280   1.2e-08   32.8   2.6   1   2       2.5   2.9e+02   -1.3   0.1   176   204   135   166   119   197 0.76 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 8459at5820           -            280   1.2e-08   32.8   2.6   2   2   1.3e-10   1.6e-08   32.4   0.5    59   184   211   329   176   385 0.72 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 8459at5820           -            280   1.4e-08   32.6   0.1   1   1   1.6e-10   1.9e-08   32.2   0.1    38   140    74   178    55   185 0.80 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117985.1-p1      -            377 8459at5820           -            280     2e-08   32.1   0.5   1   1   2.5e-10   2.9e-08   31.6   0.5    72   209   152   278   118   353 0.76 | transcript=PVX_117985.1 | gene=PVX_117985 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:2309678-2312310(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 8459at5820           -            280   2.5e-08   31.7   0.6   1   2   1.5e-09   1.8e-07   29.0   0.1    70   117   143   187   127   206 0.84 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 8459at5820           -            280   2.5e-08   31.7   0.6   2   2      0.65        77    0.6   0.1   123   217   335   436   289   495 0.71 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 8459at5820           -            280   4.4e-08   30.9   0.0   1   2       6.7   7.9e+02   -2.7   0.1    63   120    54   110    46   137 0.67 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 8459at5820           -            280   4.4e-08   30.9   0.0   2   2   1.4e-09   1.7e-07   29.0   0.0    74   174   650   737   641   745 0.88 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 8459at5820           -            280   7.4e-08   30.2   0.3   1   1   9.6e-10   1.1e-07   29.6   0.3    57   120   128   189    77   206 0.86 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 8459at5820           -            280   9.5e-08   29.9   0.3   1   1   1.2e-09   1.4e-07   29.3   0.3    57   119   128   188    77   206 0.86 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 8459at5820           -            280   1.7e-07   29.0   0.1   1   1   2.5e-09   2.9e-07   28.3   0.1    70   128   141   197    87   218 0.88 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 8459at5820           -            280   9.1e-07   26.6   0.4   1   1   1.7e-08   2.1e-06   25.5   0.4    30   120   545   633   521   694 0.76 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 8459at5820           -            280     1e-06   26.5   0.0   1   1   1.7e-08     2e-06   25.5   0.0    41   183  1776  1909  1767  1937 0.83 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 8459at5820           -            280   1.5e-06   26.0   0.1   1   1   2.8e-08   3.3e-06   24.8   0.1    66   118  1264  1315  1223  1389 0.74 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086975.1-p1      -            341 8459at5820           -            280   2.8e-06   25.0   0.0   1   1   3.7e-08   4.4e-06   24.4   0.0    52   137   120   192    72   246 0.73 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 8459at5820           -            280   3.1e-06   24.9   0.6   1   2   7.2e-08   8.5e-06   23.5   0.0    38   184   179   318   148   338 0.75 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 8459at5820           -            280   3.1e-06   24.9   0.6   2   2       9.6   1.1e+03   -3.2   0.1   203   224   422   444   394   458 0.66 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 8459at5820           -            280   3.9e-06   24.6   1.1   1   2   1.6e-07   1.8e-05   22.4   0.1    71   164   627   713   611   725 0.79 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 8459at5820           -            280   3.9e-06   24.6   1.1   2   2       9.5   1.1e+03   -3.2   0.1   173   198   826   851   822   855 0.88 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 8459at5820           -            280   4.8e-06   24.3   0.0   1   1   6.4e-08   7.5e-06   23.6   0.0    71   184   125   234    99   255 0.77 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 8459at5820           -            280   4.9e-06   24.2   2.0   1   1   7.1e-08   8.4e-06   23.5   2.0    35   118    83   162    57   190 0.74 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 8459at5820           -            280   5.4e-06   24.1   0.1   1   1   7.6e-08   8.9e-06   23.4   0.1    57   127   214   283   178   306 0.76 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 8459at5820           -            280   5.5e-06   24.1   0.0   1   1   7.7e-08   9.1e-06   23.4   0.0    28   193   516   673   502   715 0.75 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 8459at5820           -            280   6.2e-06   23.9   0.8   1   1   7.1e-08   8.4e-06   23.5   0.6    34   120    70   157    39   211 0.71 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 8459at5820           -            280   6.9e-06   23.8   0.1   1   1     2e-07   2.4e-05   22.0   0.1    54   115  1622  1683  1595  1765 0.79 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
