#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082610.1-p1      -           1175 2444at5820           -            765  1.8e-304 1010.3  77.5   1   8   2.8e-80   7.6e-77  257.6  10.6     1   160    29   200    29   214 0.91 | transcript=PVX_082610.1 | gene=PVX_082610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:804238-807765(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082610.1-p1      -           1175 2444at5820           -            765  1.8e-304 1010.3  77.5   2   8   2.6e-17   7.3e-14   49.4   0.5   170   213   304   347   296   354 0.87 | transcript=PVX_082610.1 | gene=PVX_082610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:804238-807765(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082610.1-p1      -           1175 2444at5820           -            765  1.8e-304 1010.3  77.5   3   8   6.9e-68   1.9e-64  216.6   4.0   209   328   374   493   370   498 0.98 | transcript=PVX_082610.1 | gene=PVX_082610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:804238-807765(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082610.1-p1      -           1175 2444at5820           -            765  1.8e-304 1010.3  77.5   4   8   1.9e-41   5.4e-38  129.2   1.1   328   421   544   642   539   647 0.94 | transcript=PVX_082610.1 | gene=PVX_082610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:804238-807765(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082610.1-p1      -           1175 2444at5820           -            765  1.8e-304 1010.3  77.5   5   8   2.7e-32   7.4e-29   99.0   3.0   421   502   671   754   666   759 0.96 | transcript=PVX_082610.1 | gene=PVX_082610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:804238-807765(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082610.1-p1      -           1175 2444at5820           -            765  1.8e-304 1010.3  77.5   6   8   8.3e-46   2.3e-42  143.6   7.5   488   632   795   946   787   948 0.90 | transcript=PVX_082610.1 | gene=PVX_082610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:804238-807765(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082610.1-p1      -           1175 2444at5820           -            765  1.8e-304 1010.3  77.5   7   8   5.4e-31   1.5e-27   94.7   0.8   633   713   979  1062   977  1065 0.94 | transcript=PVX_082610.1 | gene=PVX_082610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:804238-807765(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082610.1-p1      -           1175 2444at5820           -            765  1.8e-304 1010.3  77.5   8   8   8.4e-20   2.3e-16   57.6   0.4   714   765  1122  1174  1117  1174 0.95 | transcript=PVX_082610.1 | gene=PVX_082610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:804238-807765(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 2444at5820           -            765     0.023   11.3   0.0   1   1   1.3e-05     0.036   10.7   0.0   228   332   393   499   360   544 0.75 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2444at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2444at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2444at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:04 2026
# [ok]
