#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   1  12   2.4e-23   1.4e-19   68.1   0.4     1    72     1    82     1   137 0.68 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   2  12   6.5e-10   3.6e-06   23.7   0.5    77   128   152   209   134   217 0.81 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   3  12   6.4e-33   3.6e-29   99.9   5.5   159   256   335   440   307   450 0.81 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   4  12   6.7e-10   3.7e-06   23.7   0.0   260   289   474   503   465   513 0.91 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   5  12    0.0096        53   -0.0   0.0   309   335   694   720   678   725 0.85 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   6  12   1.4e-49   7.8e-46  155.0   0.0   330   437   765   875   756   877 0.93 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   7  12  1.6e-135  9.1e-132  439.5  27.1   455   699   991  1236   950  1241 0.95 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   8  12   2.7e-21   1.5e-17   61.4   0.0   698   749  1276  1328  1271  1335 0.91 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3   9  12   3.9e-83   2.1e-79  266.1   1.0   746   945  1352  1597  1348  1603 0.85 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3  10  12   5.7e-11   3.1e-07   27.2   0.0   944   978  1718  1752  1711  1760 0.89 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116555.1-p1      -           1866 1462at5820           -           1037         0 1193.5  83.3  11  12   5.9e-09   3.2e-05   20.5   0.0   974  1006  1772  1804  1767  1808 0.91 | transcript=PVX_116555.1 | gene=PVX_116555 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1081898-1087498(+) | protein_length=1866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
