#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119295.1-p1      -            611 4261at5820           -            540         0 1038.5  61.0   1   1         0         0 1022.6  61.0     2   535     4   594     3   607 0.93 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002745.1-p1      -            272 4261at5820           -            540   1.9e-15   55.1   7.2   1   2       3.3   1.1e+03   -3.5   2.1   241   274    26    60     3    70 0.45 | transcript=PVX_002745.1 | gene=PVX_002745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:235174-237527(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002745.1-p1      -            272 4261at5820           -            540   1.9e-15   55.1   7.2   2   2   5.8e-18   1.9e-15   55.1   7.2   374   441    91   160    82   224 0.80 | transcript=PVX_002745.1 | gene=PVX_002745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:235174-237527(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113640.1-p1      -            284 4261at5820           -            540   5.5e-15   53.6  15.6   1   1   1.7e-17   5.5e-15   53.6  15.6   373   488    95   231    82   261 0.71 | transcript=PVX_113640.1 | gene=PVX_113640 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr11:1617899-1619565(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 4261at5820           -            540   1.5e-14   52.2  10.8   1   2    0.0005      0.16    9.1   0.3    62   211    62   136    23   206 0.66 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 4261at5820           -            540   1.5e-14   52.2  10.8   2   2   2.7e-15   8.8e-13   46.3   5.1   373   489   433   553   381   584 0.81 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122880.1-p1      -            297 4261at5820           -            540   1.2e-12   45.9  15.1   1   1   3.6e-15   1.2e-12   45.9  15.1   377   488   128   253   120   274 0.68 | transcript=PVX_122880.1 | gene=PVX_122880 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:955183-957821(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 4261at5820           -            540   3.4e-12   44.4   8.6   1   1   1.5e-14   4.9e-12   43.8   8.6   368   450    95   175    71   214 0.86 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091430.1-p1      -            294 4261at5820           -            540     7e-12   43.3  16.2   1   1   6.4e-14   2.1e-11   41.8  16.2   357   488    77   218     2   243 0.67 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 4261at5820           -            540   1.5e-09   35.6   7.9   1   1   6.8e-12   2.2e-09   35.1   7.9   373   470   299   399   281   422 0.67 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 4261at5820           -            540   1.8e-09   35.4   0.9   1   2   3.3e-08   1.1e-05   22.9   0.0   152   209    37    94    29   101 0.93 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 4261at5820           -            540   1.8e-09   35.4   0.9   2   2   4.1e-05     0.013   12.7   0.5    66   103    92   129    87   148 0.71 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091670.1-p1      -            289 4261at5820           -            540   2.5e-07   28.3  26.7   1   1   7.6e-10   2.5e-07   28.3  26.7   355   515    85   264    57   272 0.70 | transcript=PVX_091670.1 | gene=PVX_091670 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:707084-708763(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 4261at5820           -            540   3.3e-06   24.6  32.9   1   1   3.1e-08     1e-05   23.0  32.7   287   490   146   366   132   406 0.58 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 4261at5820           -            540   1.6e-05   22.4   1.9   1   1   7.8e-08   2.5e-05   21.7   1.9    38   196  1025  1187  1009  1221 0.78 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111325.1-p1      -            281 4261at5820           -            540   4.8e-05   20.8   8.7   1   2       4.6   1.5e+03   -4.0   1.2   187   196    35    44    19    77 0.50 | transcript=PVX_111325.1 | gene=PVX_111325 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr06:553939-556527(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111325.1-p1      -            281 4261at5820           -            540   4.8e-05   20.8   8.7   2   2   1.5e-07   4.8e-05   20.8   8.7   378   479   113   226   100   237 0.67 | transcript=PVX_111325.1 | gene=PVX_111325 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr06:553939-556527(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 4261at5820           -            540   5.4e-05   20.6   4.8   1   2    0.0091         3    5.0   0.2   161   212    20    70     7    70 0.80 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 4261at5820           -            540   5.4e-05   20.6   4.8   2   2   6.5e-07   0.00021   18.6   4.4   127   217    56   143    33   165 0.79 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 4261at5820           -            540   9.2e-05   19.8  32.7   1   2   2.8e-07   9.2e-05   19.8  32.7   367   492   127   270    40   283 0.70 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 4261at5820           -            540   9.2e-05   19.8  32.7   2   2       3.7   1.2e+03   -3.6   0.8   355   367   904   916   872  1003 0.53 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 4261at5820           -            540   0.00023   18.5   0.1   1   1   1.7e-06   0.00056   17.3   0.1   151   244    89   181    41   189 0.79 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091585.1-p1      -            366 4261at5820           -            540    0.0033   14.7   0.1   1   1   1.6e-05    0.0052   14.1   0.1    29   209   270   340   256   351 0.57 | transcript=PVX_091585.1 | gene=PVX_091585 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=Pv_Sal1_chr09:628205-629305(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4261at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:56 2026
# [ok]
