#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096090.1-p1      -           1247 3072at5820           -            710         0 1058.6  55.9   1   7  7.8e-170  1.4e-166  554.2   9.9     1   241    28   268    28   291 0.97 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 3072at5820           -            710         0 1058.6  55.9   2   7  2.1e-104  3.8e-101  338.0   3.4   235   414   301   480   294   487 0.96 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 3072at5820           -            710         0 1058.6  55.9   3   7   1.3e-13   2.3e-10   37.9   0.0   413   456   550   593   538   614 0.86 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 3072at5820           -            710         0 1058.6  55.9   4   7   6.1e-13   1.1e-09   35.6   3.6   470   575   785   897   733   919 0.63 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 3072at5820           -            710         0 1058.6  55.9   5   7   1.6e-09     3e-06   24.3   0.2   566   629   996  1062   984  1096 0.79 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 3072at5820           -            710         0 1058.6  55.9   6   7    0.0072        13    2.3   0.1   616   650  1107  1139  1091  1150 0.83 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096090.1-p1      -           1247 3072at5820           -            710         0 1058.6  55.9   7   7   3.5e-29   6.4e-26   89.3   4.8   656   710  1193  1247  1186  1247 0.95 | transcript=PVX_096090.1 | gene=PVX_096090 | organism=Plasmodium_vivax_Sal-1 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=Pv_Sal1_chr03:783163-786906(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000820.1-p1      -            623 3072at5820           -            710   3.5e-16   57.1   2.1   1   3   9.6e-10   1.8e-06   25.0   0.0    66   190    76   196     1   203 0.78 | transcript=PVX_000820.1 | gene=PVX_000820 | organism=Plasmodium_vivax_Sal-1 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=Pv_Sal1_chr03:277813-279684(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000820.1-p1      -            623 3072at5820           -            710   3.5e-16   57.1   2.1   2   3     1e-13   1.9e-10   38.1   2.4   242   337   199   289   189   294 0.75 | transcript=PVX_000820.1 | gene=PVX_000820 | organism=Plasmodium_vivax_Sal-1 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=Pv_Sal1_chr03:277813-279684(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000820.1-p1      -            623 3072at5820           -            710   3.5e-16   57.1   2.1   3   3         3   5.5e+03   -9.7  17.2   450   501   366   413   303   523 0.49 | transcript=PVX_000820.1 | gene=PVX_000820 | organism=Plasmodium_vivax_Sal-1 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=Pv_Sal1_chr03:277813-279684(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 3072at5820           -            710   2.1e-06   24.8   1.5   1   5   6.8e-06     0.013   12.3   1.2    45   108    72   139    68   145 0.83 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 3072at5820           -            710   2.1e-06   24.8   1.5   2   5      0.25   4.6e+02   -2.8   0.3   514   559   319   363   244   393 0.68 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 3072at5820           -            710   2.1e-06   24.8   1.5   3   5      0.88   1.6e+03   -4.6   8.3   413   536   496   620   478   652 0.44 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 3072at5820           -            710   2.1e-06   24.8   1.5   4   5   1.1e-09   2.1e-06   24.8   1.5   126   193  1127  1194  1108  1208 0.80 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003735.1-p1      -           1473 3072at5820           -            710   2.1e-06   24.8   1.5   5   5   0.00092       1.7    5.2   0.1   278   318  1215  1253  1206  1266 0.83 | transcript=PVX_003735.1 | gene=PVX_003735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=Pv_Sal1_chr04:656724-661145(+) | protein_length=1473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3072at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:39 2026
# [ok]
