#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123520.1-p1      -           1079 4909at5820           -            586  6.4e-301  997.4  92.5   1   6   5.1e-23   2.8e-20   70.7   1.0     1    69    18   106    18   114 0.85 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 4909at5820           -            586  6.4e-301  997.4  92.5   2   6   1.5e-35   8.4e-33  112.1  16.0    54   139   135   224   127   228 0.86 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 4909at5820           -            586  6.4e-301  997.4  92.5   3   6  9.4e-156  5.2e-153  509.0  33.2   129   394   241   525   226   528 0.92 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 4909at5820           -            586  6.4e-301  997.4  92.5   4   6   8.2e-13   4.5e-10   37.0   0.0   393   429   779   819   776   881 0.77 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 4909at5820           -            586  6.4e-301  997.4  92.5   5   6     3e-55   1.6e-52  177.2   7.5   429   521   898   990   892   994 0.96 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 4909at5820           -            586  6.4e-301  997.4  92.5   6   6   6.2e-36   3.4e-33  113.4   2.0   501   586   993  1079   989  1079 0.94 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 4909at5820           -            586   1.1e-08   32.4  21.0   1   4   6.5e-10   3.6e-07   27.4   0.5    90   130     9    49     2    53 0.84 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 4909at5820           -            586   1.1e-08   32.4  21.0   2   4     0.023        13    2.5   0.0   153   183    43    76    41    81 0.83 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 4909at5820           -            586   1.1e-08   32.4  21.0   3   4     5e-07   0.00028   17.9  14.2   214   328   174   296   133   310 0.69 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 4909at5820           -            586   1.1e-08   32.4  21.0   4   4        10   5.5e+03   -6.5   7.1   107   159   619   671   606   694 0.51 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 4909at5820           -            586   2.1e-07   28.2   0.6   1   2   2.9e-08   1.6e-05   22.0   0.0    86   125     3    42     1    51 0.84 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 4909at5820           -            586   2.1e-07   28.2   0.6   2   2    0.0023       1.3    5.8   0.3   157   204    44    89    40    96 0.80 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 4909at5820           -            586   5.4e-07   26.8   1.7   1   4   6.5e-07   0.00036   17.5   0.0    86   121     5    40     2    54 0.88 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 4909at5820           -            586   5.4e-07   26.8   1.7   2   4     2e-06    0.0011   15.9   0.6   127   188    84   145    72   165 0.81 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 4909at5820           -            586   5.4e-07   26.8   1.7   3   4      0.26   1.5e+02   -1.0   0.7   122   152   165   196   149   203 0.67 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 4909at5820           -            586   5.4e-07   26.8   1.7   4   4        10   5.5e+03   -9.6  13.0   434   535   208   318   163   337 0.61 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 4909at5820           -            586   1.2e-06   25.7   0.2   1   2   2.1e-07   0.00012   19.1   0.0    89   123    43    77    39    84 0.90 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 4909at5820           -            586   1.2e-06   25.7   0.2   2   2    0.0041       2.3    5.0   0.1   156   185    80   109    77   114 0.91 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 4909at5820           -            586   3.6e-06   24.1   0.9   1   2   6.5e-09   3.6e-06   24.1   0.9    81   125   105   148    83   170 0.78 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 4909at5820           -            586   3.6e-06   24.1   0.9   2   2        10   5.5e+03   -7.6  13.3   229   287   288   356   150   378 0.70 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097645.1-p1      -            177 4909at5820           -            586   1.6e-05   22.0   0.1   1   2   2.8e-08   1.6e-05   22.0   0.1    87   124     6    43     2    58 0.86 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097645.1-p1      -            177 4909at5820           -            586   1.6e-05   22.0   0.1   2   2      0.65   3.6e+02   -2.3   0.0   277   299   109   133   101   139 0.70 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 4909at5820           -            586   0.00018   18.5   2.2   1   1   1.2e-06   0.00064   16.7   2.2    89   135     4    50     2    74 0.73 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 4909at5820           -            586    0.0014   15.6   0.9   1   2   3.8e-05     0.021   11.7   0.1    89   122   299   332   293   336 0.91 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 4909at5820           -            586    0.0014   15.6   0.9   2   2     0.033        18    2.0   0.1   157   182   336   361   333   366 0.89 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
