#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117795.1-p1      -            266 13542at5820          -            209  1.1e-121  402.6  24.7   1   2  1.1e-124  1.1e-121  402.6  24.7     1   201     1   216     1   225 0.93 | transcript=PVX_117795.1 | gene=PVX_117795 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2145004-2146476(-) | protein_length=266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117795.1-p1      -            266 13542at5820          -            209  1.1e-121  402.6  24.7   2   2      0.42   3.9e+02   -1.1   0.7   196   202   235   241   213   266 0.47 | transcript=PVX_117795.1 | gene=PVX_117795 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2145004-2146476(-) | protein_length=266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101442.1-p1      -            185 13542at5820          -            209   5.1e-07   27.9   0.2   1   1   9.1e-10   8.3e-07   27.2   0.1     4   105    21   126    18   136 0.83 | transcript=PVX_101442.1 | gene=PVX_101442 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2893874-2895739(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091620.1-p1      -            678 13542at5820          -            209    0.0087   14.1   0.1   1   6      0.13   1.2e+02    0.6   0.0   142   181    31    69    16   120 0.74 | transcript=PVX_091620.1 | gene=PVX_091620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr09:654624-656660(+) | protein_length=678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091620.1-p1      -            678 13542at5820          -            209    0.0087   14.1   0.1   2   6       0.2   1.9e+02   -0.0   0.2   121   139   307   325   295   359 0.56 | transcript=PVX_091620.1 | gene=PVX_091620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr09:654624-656660(+) | protein_length=678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091620.1-p1      -            678 13542at5820          -            209    0.0087   14.1   0.1   3   6   9.5e-06    0.0087   14.1   0.1   128   181   360   409   345   414 0.80 | transcript=PVX_091620.1 | gene=PVX_091620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr09:654624-656660(+) | protein_length=678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091620.1-p1      -            678 13542at5820          -            209    0.0087   14.1   0.1   4   6    0.0018       1.6    6.7   3.7   117   176   409   470   406   479 0.68 | transcript=PVX_091620.1 | gene=PVX_091620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr09:654624-656660(+) | protein_length=678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091620.1-p1      -            678 13542at5820          -            209    0.0087   14.1   0.1   5   6         1   9.2e+02   -2.3   9.5   112   168   486   520   470   578 0.47 | transcript=PVX_091620.1 | gene=PVX_091620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr09:654624-656660(+) | protein_length=678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091620.1-p1      -            678 13542at5820          -            209    0.0087   14.1   0.1   6   6    0.0011      0.99    7.4   1.3   149   185   620   657   603   667 0.66 | transcript=PVX_091620.1 | gene=PVX_091620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr09:654624-656660(+) | protein_length=678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 13542at5820          -            209      0.03   12.4   0.2   1   1   6.5e-05      0.06   11.4   0.2   118   152   593   628   569   643 0.74 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100805.1-p1      -           1915 13542at5820          -            209      0.08   11.0   2.0   1   1    0.0002      0.18    9.8   2.0   116   151  1622  1658  1611  1690 0.84 | transcript=PVX_100805.1 | gene=PVX_100805 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2386578-2392325(-) | protein_length=1915 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095035.1-p1      -           1023 13542at5820          -            209       1.2    7.1  13.8   1   3     0.071        66    1.5   0.2   122   150   519   539   507   596 0.58 | transcript=PVX_095035.1 | gene=PVX_095035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:746787-750043(-) | protein_length=1023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095035.1-p1      -           1023 13542at5820          -            209       1.2    7.1  13.8   2   3      0.03        28    2.7   0.0   145   183   692   733   681   755 0.56 | transcript=PVX_095035.1 | gene=PVX_095035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:746787-750043(-) | protein_length=1023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095035.1-p1      -           1023 13542at5820          -            209       1.2    7.1  13.8   3   3      0.01       9.3    4.2   6.9   116   152   901   935   892   962 0.67 | transcript=PVX_095035.1 | gene=PVX_095035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:746787-750043(-) | protein_length=1023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13542at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13542at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13542at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:33 2026
# [ok]
