#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079770.1-p1      -            284 10406at5820          -            229    1e-139  461.9  26.2   1   1  2.1e-141  1.5e-138  458.1  26.2     1   229    27   282    27   282 0.96 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 10406at5820          -            229    0.0013   16.7   2.0   1   2     0.086        59    1.4   0.0   163   228    21    85     7    86 0.71 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 10406at5820          -            229    0.0013   16.7   2.0   2   2     1e-05     0.007   14.2   1.1   186   222   106   140    88   144 0.81 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 10406at5820          -            229    0.0018   16.1   0.5   1   2         1   7.2e+02   -2.2   2.0   142   185   154   192   115   224 0.55 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 10406at5820          -            229    0.0018   16.1   0.5   2   2   2.6e-06    0.0018   16.1   0.5   195   227   360   392   331   394 0.70 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 10406at5820          -            229    0.0039   15.0   1.9   1   1   1.1e-05    0.0076   14.1   1.9   188   226  1161  1199  1138  1202 0.76 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 10406at5820          -            229     0.027   12.3   5.4   1   1     2e-05     0.014   13.3   3.6   197   226    50    80    30    82 0.83 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082630.1-p1      -            456 10406at5820          -            229      0.27    9.1   5.2   1   1   0.00076      0.52    8.1   5.2   199   226    20    49     4    52 0.73 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093620.1-p1      -            913 10406at5820          -            229      0.42    8.4   6.8   1   3     0.025        18    3.1   1.1   136   192   434   491   429   514 0.71 | transcript=PVX_093620.1 | gene=PVX_093620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:690049-693069(-) | protein_length=913 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093620.1-p1      -            913 10406at5820          -            229      0.42    8.4   6.8   2   3      0.24   1.7e+02   -0.1   0.1    89   122   746   779   737   800 0.82 | transcript=PVX_093620.1 | gene=PVX_093620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:690049-693069(-) | protein_length=913 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093620.1-p1      -            913 10406at5820          -            229      0.42    8.4   6.8   3   3    0.0022       1.5    6.6   0.0   138   168   838   868   823   898 0.85 | transcript=PVX_093620.1 | gene=PVX_093620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:690049-693069(-) | protein_length=913 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
