#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118020.1-p1      -           1372 2267at5820           -            910         0 1179.4 103.0   1   7   6.2e-98   6.9e-95  317.3  12.7     1   214     1   218     1   231 0.84 | transcript=PVX_118020.1 | gene=PVX_118020 | organism=Plasmodium_vivax_Sal-1 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=Pv_Sal1_chr12:2339991-2344306(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118020.1-p1      -           1372 2267at5820           -            910         0 1179.4 103.0   2   7   8.7e-39   9.6e-36  121.6  22.4   202   330   286   439   236   481 0.75 | transcript=PVX_118020.1 | gene=PVX_118020 | organism=Plasmodium_vivax_Sal-1 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=Pv_Sal1_chr12:2339991-2344306(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118020.1-p1      -           1372 2267at5820           -            910         0 1179.4 103.0   3   7   1.1e-06    0.0012   15.3   5.1   322   366   477   523   465   528 0.82 | transcript=PVX_118020.1 | gene=PVX_118020 | organism=Plasmodium_vivax_Sal-1 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=Pv_Sal1_chr12:2339991-2344306(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118020.1-p1      -           1372 2267at5820           -            910         0 1179.4 103.0   4   7   4.6e-12     5e-09   33.2   7.7   420   491   648   718   582   813 0.76 | transcript=PVX_118020.1 | gene=PVX_118020 | organism=Plasmodium_vivax_Sal-1 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=Pv_Sal1_chr12:2339991-2344306(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118020.1-p1      -           1372 2267at5820           -            910         0 1179.4 103.0   5   7   9.6e-06     0.011   12.2   6.6   499   578   869   959   848   963 0.67 | transcript=PVX_118020.1 | gene=PVX_118020 | organism=Plasmodium_vivax_Sal-1 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=Pv_Sal1_chr12:2339991-2344306(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118020.1-p1      -           1372 2267at5820           -            910         0 1179.4 103.0   6   7   2.2e-49   2.4e-46  156.6  11.0   530   663   940  1076   936  1085 0.70 | transcript=PVX_118020.1 | gene=PVX_118020 | organism=Plasmodium_vivax_Sal-1 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=Pv_Sal1_chr12:2339991-2344306(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118020.1-p1      -           1372 2267at5820           -            910         0 1179.4 103.0   7   7  3.8e-167  4.2e-164  546.3   3.1   656   908  1119  1372  1100  1372 0.94 | transcript=PVX_118020.1 | gene=PVX_118020 | organism=Plasmodium_vivax_Sal-1 | gene_product=crossover junction endonuclease MUS81, putative | transcript_product=crossover junction endonuclease MUS81, putative | location=Pv_Sal1_chr12:2339991-2344306(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 2267at5820           -            910     0.022   11.2  25.6   1   1   3.2e-05     0.035   10.5  25.6   369   539    56   223    31   249 0.70 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 2267at5820           -            910      0.41    7.0  35.9   1   1   0.00046      0.51    6.7  35.9   382   567    81   254    42   274 0.49 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096035.1-p1      -            165 2267at5820           -            910      0.51    6.7  11.0   1   1   0.00058      0.64    6.3  11.0   458   567    44   152    35   163 0.67 | transcript=PVX_096035.1 | gene=PVX_096035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr03:851611-852231(-) | protein_length=165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090070.1-p1      -            290 2267at5820           -            910       3.2    4.0  57.1   1   1    0.0031       3.4    3.9  57.1   426   574   138   287    80   290 0.54 | transcript=PVX_090070.1 | gene=PVX_090070 | organism=Plasmodium_vivax_Sal-1 | gene_product=ran binding protein 1, putative | transcript_product=ran binding protein 1, putative | location=Pv_Sal1_chr05:1084650-1085894(+) | protein_length=290 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
