#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092215.1-p1      -            543 4696at5820           -            156    5e-103  339.8   3.0   1   1  1.7e-105  9.4e-103  339.0   3.0     1   156    21   177    21   177 0.99 | transcript=PVX_092215.1 | gene=PVX_092215 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=Pv_Sal1_chr09:1183648-1185521(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095220.1-p1      -            535 4696at5820           -            156     5e-35  118.9   6.1   1   1   2.2e-37   1.2e-34  117.7   6.1     2   156    35   191    34   191 0.94 | transcript=PVX_095220.1 | gene=PVX_095220 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=Pv_Sal1_chr08:911208-912815(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119530.1-p1      -            540 4696at5820           -            156   1.3e-34  117.6   2.3   1   1   4.6e-37   2.5e-34  116.7   2.3     2   153    31   185    30   188 0.91 | transcript=PVX_119530.1 | gene=PVX_119530 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=Pv_Sal1_chr08:1400038-1401841(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124100.1-p1      -            544 4696at5820           -            156   2.2e-34  116.8   1.9   1   2   4.1e-37   2.2e-34  116.8   1.9     2   156    30   184    29   184 0.96 | transcript=PVX_124100.1 | gene=PVX_124100 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=Pv_Sal1_chr14:2060440-2062271(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124100.1-p1      -            544 4696at5820           -            156   2.2e-34  116.8   1.9   2   2       2.6   1.4e+03   -2.7   0.0    20    43   282   305   271   337 0.67 | transcript=PVX_124100.1 | gene=PVX_124100 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=Pv_Sal1_chr14:2060440-2062271(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119465.1-p1      -            532 4696at5820           -            156   8.8e-34  114.9   0.2   1   1   3.5e-36   1.9e-33  113.8   0.2     5   153    31   188    27   191 0.87 | transcript=PVX_119465.1 | gene=PVX_119465 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=Pv_Sal1_chr08:1454037-1455635(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114865.1-p1      -            529 4696at5820           -            156   2.9e-30  103.5   3.2   1   1   1.4e-32   7.7e-30  102.1   3.2     2   153    29   180    28   183 0.93 | transcript=PVX_114865.1 | gene=PVX_114865 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit delta, putative | transcript_product=T-complex protein 1 subunit delta, putative | location=Pv_Sal1_chr11:565497-567817(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002835.1-p1      -            544 4696at5820           -            156   7.1e-19   66.5   2.8   1   1     5e-21   2.8e-18   64.5   2.8     3   153    33   186    31   189 0.83 | transcript=PVX_002835.1 | gene=PVX_002835 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=Pv_Sal1_chr04:312876-314760(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113595.1-p1      -            543 4696at5820           -            156   1.1e-18   65.8   1.6   1   1   6.6e-21   3.6e-18   64.2   1.6     4   146    27   173    24   183 0.86 | transcript=PVX_113595.1 | gene=PVX_113595 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=Pv_Sal1_chr11:1676200-1678047(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100550.1-p1      -            710 4696at5820           -            156   1.1e-10   39.8   1.4   1   4       0.2   1.1e+02    0.9   0.5   100   125    49    74    44    80 0.86 | transcript=PVX_100550.1 | gene=PVX_100550 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperonin CPN60, mitochondrial precursor, putative | transcript_product=chaperonin CPN60, mitochondrial precursor, putative | location=Pv_Sal1_chr14:2185982-2188495(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100550.1-p1      -            710 4696at5820           -            156   1.1e-10   39.8   1.4   2   4     2e-13   1.1e-10   39.8   1.4     5   131    89   217    85   241 0.85 | transcript=PVX_100550.1 | gene=PVX_100550 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperonin CPN60, mitochondrial precursor, putative | transcript_product=chaperonin CPN60, mitochondrial precursor, putative | location=Pv_Sal1_chr14:2185982-2188495(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100550.1-p1      -            710 4696at5820           -            156   1.1e-10   39.8   1.4   3   4      0.54     3e+02   -0.5   0.1    87   119   403   435   390   453 0.68 | transcript=PVX_100550.1 | gene=PVX_100550 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperonin CPN60, mitochondrial precursor, putative | transcript_product=chaperonin CPN60, mitochondrial precursor, putative | location=Pv_Sal1_chr14:2185982-2188495(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100550.1-p1      -            710 4696at5820           -            156   1.1e-10   39.8   1.4   4   4       3.2   1.7e+03   -3.0   0.2    98   125   584   611   555   636 0.60 | transcript=PVX_100550.1 | gene=PVX_100550 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperonin CPN60, mitochondrial precursor, putative | transcript_product=chaperonin CPN60, mitochondrial precursor, putative | location=Pv_Sal1_chr14:2185982-2188495(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095000.1-p1      -            580 4696at5820           -            156   1.1e-08   33.4   2.8   1   2   2.8e-10   1.6e-07   29.6   0.9     5   129    51   177    47   218 0.85 | transcript=PVX_095000.1 | gene=PVX_095000 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=Pv_Sal1_chr08:723282-725290(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095000.1-p1      -            580 4696at5820           -            156   1.1e-08   33.4   2.8   2   2     0.051        28    2.8   0.0    87   131   315   358   309   365 0.80 | transcript=PVX_095000.1 | gene=PVX_095000 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=Pv_Sal1_chr08:723282-725290(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4696at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4696at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4696at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:37 2026
# [ok]
