#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   1  11   2.8e-58   5.2e-55  185.0   7.5     1   122     1   132     1   143 0.84 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   2  11       1.4   2.5e+03   -6.0  16.1    88   127   148   186   139   189 0.64 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   3  11   1.6e-10   2.9e-07   26.9  31.0    90   176   177   262   171   266 0.73 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   4  11   2.5e-57   4.6e-54  181.8  37.5   103   314   255   472   251   505 0.66 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   5  11   5.9e-12   1.1e-08   31.6   2.7   300   353   564   617   557   623 0.84 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   6  11  3.6e-129  6.7e-126  419.7  48.8   340   613   709  1005   666  1037 0.78 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   7  11     6e-07    0.0011   15.0   6.4   622   730  1078  1178  1054  1190 0.60 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   8  11      0.63   1.2e+03   -4.9  15.8   608   703  1184  1285  1168  1314 0.56 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8   9  11     0.021        38    0.0   3.9   680   737  1373  1431  1350  1449 0.51 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8  10  11   5.1e-70   9.4e-67  223.9  20.5   725   859  1571  1705  1545  1709 0.96 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092550.1-p1      -           1990 1990at5820           -           1072         0 1450.3 283.8  11  11  1.3e-128  2.4e-125  417.9  45.6   855  1072  1769  1990  1763  1990 0.98 | transcript=PVX_092550.1 | gene=PVX_092550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1480104-1486475(-) | protein_length=1990 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
