#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113920.1-p1      -            153 14675at5820          -            104   8.6e-60  198.0   4.5   1   2       1.3   2.5e+02    0.5   0.5     1     9     1     9     1    59 0.74 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113920.1-p1      -            153 14675at5820          -            104   8.6e-60  198.0   4.5   2   2   4.3e-62   8.6e-60  198.0   4.5    11   104    60   153    38   153 0.96 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 14675at5820          -            104   2.8e-14   51.7   4.9   1   4     1e-05     0.002   16.9   0.0    16    89    20    94    15   102 0.87 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 14675at5820          -            104   2.8e-14   51.7   4.9   2   4   3.2e-05    0.0063   15.3   0.3    14    83   106   175    97   192 0.89 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 14675at5820          -            104   2.8e-14   51.7   4.9   3   4       1.5     3e+02    0.3   0.1    16    77   197   256   178   261 0.75 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 14675at5820          -            104   2.8e-14   51.7   4.9   4   4   4.8e-06   0.00096   17.9   0.0    13    91   450   528   440   539 0.88 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 14675at5820          -            104     2e-11   42.6   0.5   1   2   3.1e-06   0.00062   18.5   0.0    13    88    22    97    13   113 0.86 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 14675at5820          -            104     2e-11   42.6   0.5   2   2   2.3e-07   4.6e-05   22.1   0.1     3    85   163   245   161   249 0.93 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 14675at5820          -            104   5.2e-07   28.4   2.2   1   3    0.0052         1    8.2   0.0     7    48    14    56     9    73 0.85 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 14675at5820          -            104   5.2e-07   28.4   2.2   2   3   2.5e-06   0.00049   18.8   0.4    11    85   106   180    97   192 0.86 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 14675at5820          -            104   5.2e-07   28.4   2.2   3   3       2.2   4.4e+02   -0.3   0.1    42    81   178   218   166   238 0.67 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 14675at5820          -            104   2.2e-06   26.4   0.0   1   1   1.2e-08   2.5e-06   26.2   0.0     9    82    11    82     3   103 0.85 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087055.1-p1      -            721 14675at5820          -            104   2.7e-06   26.1   0.3   1   2     6e-08   1.2e-05   24.0   0.0    11    84     6    80     2    93 0.89 | transcript=PVX_087055.1 | gene=PVX_087055 | organism=Plasmodium_vivax_Sal-1 | gene_product=mRNA processing protein, putative | transcript_product=mRNA processing protein, putative | location=Pv_Sal1_chr07:1270715-1272880(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087055.1-p1      -            721 14675at5820          -            104   2.7e-06   26.1   0.3   2   2       6.4   1.3e+03   -1.8   0.0    12    34   185   207   178   232 0.78 | transcript=PVX_087055.1 | gene=PVX_087055 | organism=Plasmodium_vivax_Sal-1 | gene_product=mRNA processing protein, putative | transcript_product=mRNA processing protein, putative | location=Pv_Sal1_chr07:1270715-1272880(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 14675at5820          -            104   2.8e-06   26.0   0.4   1   1   3.6e-08   7.1e-06   24.7   0.4    12    91     8    88     2    91 0.90 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001865.1-p1      -            491 14675at5820          -            104   4.1e-06   25.5   0.0   1   1   2.1e-08   4.1e-06   25.5   0.0    11    90   336   416   326   424 0.91 | transcript=PVX_001865.1 | gene=PVX_001865 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr06:208485-211414(-) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 14675at5820          -            104   6.8e-06   24.8   5.5   1   2   0.00018     0.035   12.9   0.5    13    75    96   158    90   191 0.82 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
