#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   1  14   3.6e-89   6.6e-86  287.4  20.3     1   181     1   184     1   187 0.98 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   2  14   5.8e-91   1.1e-87  293.4  15.5   183   384   235   455   231   460 0.90 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   3  14     7e-23   1.3e-19   67.9   4.1   378   452   495   576   487   590 0.83 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   4  14   3.3e-05     0.061    9.3   0.2   449   480   599   630   588   634 0.87 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   5  14   1.6e-05      0.03   10.3   0.1   475   504   688   717   650   747 0.81 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   6  14     3e-05     0.056    9.5   5.1   510   562   977  1032   945  1048 0.65 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   7  14   0.00016       0.3    7.0   1.6   440   576  1043  1190  1033  1196 0.58 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   8  14   3.8e-81     7e-78  260.8   3.5   566   736  1275  1452  1228  1456 0.86 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9   9  14   2.1e-09   3.9e-06   23.2   0.0   733   759  1486  1512  1479  1515 0.90 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9  10  14   1.2e-39   2.2e-36  123.4   3.3   758   840  1607  1690  1602  1700 0.93 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091255.1-p1      -           2440 565at5820            -           1203         0 1595.9 186.9  11  14     7e-80   1.3e-76  256.7   6.5   830   987  1773  1943  1768  1951 0.89 | transcript=PVX_091255.1 | gene=PVX_091255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:363441-370763(+) | protein_length=2440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
