#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079725.1-p1      -            250 10996at5820          -            217  1.3e-123  409.1  16.9   1   1    1e-125  6.2e-123  406.9  16.9     1   217    15   249    15   249 0.95 | transcript=PVX_079725.1 | gene=PVX_079725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:47034-49161(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   1   9   1.2e-09   7.3e-07   27.5   8.2    48   163    76   190    62   192 0.80 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   2   9   8.3e-09   5.1e-06   24.7   5.5    89   146   176   232   173   236 0.88 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   3   9   9.3e-05     0.057   11.5   0.1    88   132   236   279   233   296 0.89 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   4   9     1e-13   6.2e-11   40.8   5.8    74   186   291   408   285   413 0.83 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   5   9   2.2e-05     0.014   13.5   0.6   110   149   711   751   703   757 0.83 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   6   9   2.1e-06    0.0013   16.9   0.8   101   150   767   817   749   827 0.77 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   7   9   7.2e-06    0.0044   15.1   4.8   113   150   948   986   935  1010 0.79 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   8   9   0.00016     0.096   10.8   4.0   104   150  1001  1048   984  1056 0.79 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 10996at5820          -            217   2.5e-39  133.6  73.8   9   9   9.6e-05     0.059   11.4   0.1    96   138  1072  1114  1058  1126 0.85 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 10996at5820          -            217     2e-33  114.3  52.8   1   5   2.3e-11   1.4e-08   33.1  13.1    66   168   210   313   197   313 0.85 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
