#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001720.1-p1      -           1096 1259at5820           -            946         0 1945.8  48.1   1   3   3.6e-14   6.6e-11   39.0   0.2     1    57    10    86    10   104 0.77 | transcript=PVX_001720.1 | gene=PVX_001720 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=Pv_Sal1_chr06:87639-90929(+) | protein_length=1096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001720.1-p1      -           1096 1259at5820           -            946         0 1945.8  48.1   2   3   3.2e-12     6e-09   32.6   1.5    49    95   113   164   104   177 0.81 | transcript=PVX_001720.1 | gene=PVX_001720 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=Pv_Sal1_chr06:87639-90929(+) | protein_length=1096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001720.1-p1      -           1096 1259at5820           -            946         0 1945.8  48.1   3   3         0         0 1882.8  34.4    79   946   177  1090   170  1090 0.97 | transcript=PVX_001720.1 | gene=PVX_001720 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=Pv_Sal1_chr06:87639-90929(+) | protein_length=1096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 1259at5820           -            946   7.5e-45  151.4  19.7   1   4   6.2e-16   1.1e-12   44.9   2.3   234   344   698   813   660   826 0.86 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 1259at5820           -            946   7.5e-45  151.4  19.7   2   4   7.7e-13   1.4e-09   34.6   0.1   440   487   983  1030   950  1043 0.83 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 1259at5820           -            946   7.5e-45  151.4  19.7   3   4   2.2e-26     4e-23   79.5   4.1   512   714  1098  1298  1089  1303 0.87 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 1259at5820           -            946   7.5e-45  151.4  19.7   4   4      0.06   1.1e+02   -1.4   0.0   713   766  1320  1378  1318  1450 0.82 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 1259at5820           -            946     1e-36  124.4  30.7   1   4   0.00012      0.21    7.6   0.5    57    80    52    75    30    98 0.83 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 1259at5820           -            946     1e-36  124.4  30.7   2   4   1.6e-06     0.003   13.7   4.1    82   175   108   208    96   225 0.75 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 1259at5820           -            946     1e-36  124.4  30.7   3   4   9.1e-11   1.7e-07   27.8   1.3   377   487   849   966   843   970 0.85 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 1259at5820           -            946     1e-36  124.4  30.7   4   4   9.3e-30   1.7e-26   90.6   3.8   501   704  1131  1329  1116  1340 0.88 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1259at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1259at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1259at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:23 2026
# [ok]
